item,homeportLabel,homeportCountryCode,homeportGeonamesId,ownerLabel,ownerUrl,ownerCountryCode,operatorLabel,operatorUrl,operatorCountryCode,manufacturerLabel,manufacturerUrl,manufacturerCountryCode
http://www.wikidata.org/entity/Q30090671,,,,,,,,,,Severnaya Verf,http://www.ru.nordsy.spb.ru/,RU
http://www.wikidata.org/entity/Q30095850,,,,,,,Orient Overseas Container Line,http://www.oocl.com,HK,Samsung Heavy Industries,http://www.shi.samsung.co.kr,KR
http://www.wikidata.org/entity/Q30125043,Nassau,BS,3571824,Royal Caribbean Cruises Ltd.,http://www.rclcorporate.com/,US,Royal Caribbean International,https://www.royalcaribbean.com/,US,Chantiers de l'Atlantique,http://chantiers-atlantique.com,FR
http://www.wikidata.org/entity/Q30133807,Amsterdam,NL,2759794,,,,,,,Van der Giessen de Noord,http://www.gn.nl,NL
http://www.wikidata.org/entity/Q30133816,,,,,,,,,,Nobiskrug,http://www.nobiskrug.com/,DE
http://www.wikidata.org/entity/Q30133827,Devonport,AU,2168943,,,,,,,Flensburger Schiffbau-Gesellschaft,http://www.fsg-ship.de,DE
http://www.wikidata.org/entity/Q30133849,Piraeus,GR,255274,,,,,,,Harland and Wolff,http://www.harland-wolff.com/,GB
http://www.wikidata.org/entity/Q30133871,Kiel,DE,6559052,Federal Ministry of Transport and Digital Infrastructure,http://www.bmvi.de/,DE,,,,Q15127415,http://schiffswerft-bolle.de/,DE
http://www.wikidata.org/entity/Q30133889,,,,Bayerische Seenschifffahrt,http://www.seenschifffahrt.de/,DE,,,,Lux-Werft,https://www.lux-werft.de/,DE
http://www.wikidata.org/entity/Q30179719,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q30533485,Lorient,FR,6437298,Regional Council of Brittany,http://www.bretagne.bzh/jcms/JB080225_11542/fr/english,FR,,,,Q3389169,http://piriou.com,FR
http://www.wikidata.org/entity/Q30533485,Lorient,FR,2997577,Regional Council of Brittany,http://www.bretagne.bzh/jcms/JB080225_11542/fr/english,FR,,,,Q3389169,http://piriou.com,FR
http://www.wikidata.org/entity/Q30589419,Galway,IE,7778676,,,,,,,Damen Group,http://www.damen.nl/,NL
http://www.wikidata.org/entity/Q30589419,Galway,IE,2964180,,,,,,,Damen Group,http://www.damen.nl/,NL
http://www.wikidata.org/entity/Q30602795,,,,,,,,,,BAE Systems Maritime – Naval Ships,http://www.baesystems.com/Businesses/SurfaceShips/index.htm,GB
http://www.wikidata.org/entity/Q30605743,,,,,,,,,,BAE Systems Maritime – Naval Ships,http://www.baesystems.com/Businesses/SurfaceShips/index.htm,GB
http://www.wikidata.org/entity/Q30688206,,,,,,,,,,Hindustan Shipyard,https://www.hslvizag.in/,IN
http://www.wikidata.org/entity/Q30688907,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q30688904,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q30891101,,,,,,,,,,Wärtsilä,http://www.wartsila.com,FI
http://www.wikidata.org/entity/Q30914909,,,,,,,,,,Sredne-Nevskiy Shipyard,http://snsz.ru/,RU
http://www.wikidata.org/entity/Q52340682,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52340722,,,,,,,,,,Eide Marine Services,http://eidemarine.com,NO
http://www.wikidata.org/entity/Q52340747,,,,,,,,,,Orskov Yard,https://www.orskov.dk/,DK
http://www.wikidata.org/entity/Q52340787,,,,,,,,,,SLKB Komarno – Slovak Shipyard Komárno,http://www.samstroje.sk/,SK
http://www.wikidata.org/entity/Q52340797,,,,,,,,,,SLKB Komarno – Slovak Shipyard Komárno,http://www.samstroje.sk/,SK
http://www.wikidata.org/entity/Q42619076,Genoa,IT,6542282,,,,,,,Neptun Werft,http://www.neptunwerft.de,DE
http://www.wikidata.org/entity/Q42619076,Genoa,IT,6542282,,,,,,,Meyer Werft,http://www.meyerwerft.de/,DE
http://www.wikidata.org/entity/Q42781251,,,,,,,Japan Maritime Self-Defense Force,https://www.mod.go.jp/msdf/,JP,Mitsubishi Heavy Industries,http://www.mhi-global.com,JP
http://www.wikidata.org/entity/Q42896493,,,,,,,,,,American Bridge Company,http://www.americanbridge.net/,US
http://www.wikidata.org/entity/Q42901486,,,,Finferries,https://www.finferries.fi/,FI,,,,CRIST,http://www.crist.com.pl,PL
http://www.wikidata.org/entity/Q43079879,,,,,,,,,,Severnaya Verf,http://www.ru.nordsy.spb.ru/,RU
http://www.wikidata.org/entity/Q43079909,,,,,,,,,,Severnaya Verf,http://www.ru.nordsy.spb.ru/,RU
http://www.wikidata.org/entity/Q43268708,Bakar,HR,3204612,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q43268708,Bakar,HR,3204612,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52294743,,,,,,,,,,STX Finland Oy,http://www.meyerturku.com/en/meyerturku_com/index.jsp,FI
http://www.wikidata.org/entity/Q52294767,,,,,,,,,,Ferguson Marine Engineering,http://www.fergusonmarine.com/,GB
http://www.wikidata.org/entity/Q52294776,,,,,,,,,,Brodosplit,http://www.brodosplit.hr/,HR
http://www.wikidata.org/entity/Q52294786,,,,,,,,,,Hijos de J. Barreras,http://www.hjbarreras.es/,ES
http://www.wikidata.org/entity/Q52295261,,,,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52295360,,,,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52295446,,,,,,,,,,Neptun Werft,http://www.neptunwerft.de,DE
http://www.wikidata.org/entity/Q52295460,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52295507,,,,,,,,,,Nordseewerke,http://www.nordseewerke.com,DE
http://www.wikidata.org/entity/Q52295543,,,,,,,,,,Ferguson Marine Engineering,http://www.fergusonmarine.com/,GB
http://www.wikidata.org/entity/Q52295581,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52295593,,,,,,,,,,Bodewes Shipyards,http://www.royalbodewes.com/,NL
http://www.wikidata.org/entity/Q52295686,,,,,,,,,,Nordseewerke,http://www.nordseewerke.com,DE
http://www.wikidata.org/entity/Q52295783,,,,,,,,,,STX Finland Oy,http://www.meyerturku.com/en/meyerturku_com/index.jsp,FI
http://www.wikidata.org/entity/Q52295820,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52295868,,,,,,,,,,Neptun Werft,http://www.neptunwerft.de,DE
http://www.wikidata.org/entity/Q52295927,,,,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52296035,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52296064,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52296071,,,,,,,,,,Orenstein & Koppel,http://www.oundka.com/de/,DE
http://www.wikidata.org/entity/Q52296095,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52296125,,,,,,,,,,Meyer Werft,http://www.meyerwerft.de/,DE
http://www.wikidata.org/entity/Q52296150,,,,,,,,,,Kherson Shipyard,http://kherson-shipyard.com,UA
http://www.wikidata.org/entity/Q52296221,,,,,,,,,,Nobiskrug,http://www.nobiskrug.com/,DE
http://www.wikidata.org/entity/Q52296247,,,,,,,,,,Orenstein & Koppel,http://www.oundka.com/de/,DE
http://www.wikidata.org/entity/Q52296258,,,,,,,,,,Neptun Werft,http://www.neptunwerft.de,DE
http://www.wikidata.org/entity/Q52296296,,,,,,,,,,Sumitomo Heavy Industries,http://www.shi.co.jp/,JP
http://www.wikidata.org/entity/Q52296442,,,,,,,,,,Abeking & Rasmussen,http://www.abeking.com/,DE
http://www.wikidata.org/entity/Q52296455,,,,,,,,,,Nobiskrug,http://www.nobiskrug.com/,DE
http://www.wikidata.org/entity/Q52296562,,,,,,,,,,Bodewes Shipyards,http://www.royalbodewes.com/,NL
http://www.wikidata.org/entity/Q52296815,,,,,,,,,,Abeking & Rasmussen,http://www.abeking.com/,DE
http://www.wikidata.org/entity/Q52296843,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q45020027,,,,,,,,,,Motala Verkstad,http://www.motalaverkstad.se/,SE
http://www.wikidata.org/entity/Q45807346,,,,,,,,,,Goa Shipyard Limited,http://www.goashipyard.co.in/,IN
http://www.wikidata.org/entity/Q46700733,,,,,,,,,,Chantiers de l'Atlantique,http://chantiers-atlantique.com,FR
http://www.wikidata.org/entity/Q47005013,,,,United States Coast Guard,https://www.uscg.mil/,US,,,,Bollinger Shipyards,http://www.bollingershipyards.com,US
