num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,L'AMERICAIN,838286,227307430,,1992,133,133,"6,3","2,09",,BOIS,1992-09-16,ESSENCE,POINTE A PITRE,,,,2018-01-01,
,DANIELLE,838290,329009260,,1992,110,110,"6,5","2,26",,PLASTIQUE,1992-09-23,ESSENCE,POINTE A PITRE,Petite pêche,,,2018-01-01,2019-09-23
,BEIJA,838401,227300030,,1992,132,132,"6,5","2,17",,BOIS,1992-12-30,ESSENCE,POINTE A PITRE,,,,2018-01-01,
,GITE,838545,329013280,,1993,103,103,"6,1","1,83",,BOIS,1993-04-15,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-05-29,
,TOUTOUA,839095,227308230,,1994,110,110,"6,9","1,95",,PLASTIQUE,1994-06-23,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-02-06,
,ABYSS,839171,227301960,,1994,110,110,"7,3","2,39",,BOIS,1994-09-13,ESSENCE,POINTE A PITRE,Petite pêche,,,2018-01-01,
,BIEN VUE,839187,329013640,,1994,169,169,"7,9","3,35",,PLASTIQUE,1994-08-26,ESSENCE,POINTE A PITRE,,,,2018-01-01,
,STEREDEN AN HEOL,839200,227002830,,1992,442,442,"15,87",,,METAL,1992-06-11,GAZOLE,LORIENT,Navigation côtière,2018-05-03,,,
,CALYPSO,839235,,GARREAU ,1992,37,37,"8,3",,,METAL,1992-10-26,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,BELOUGA,839347,,,1992,88,88,"6,84",,,METAL,1992-06-22,GAZOLE,NANTES,Lamanage,2018-01-01,,,
,ELODIE,839511,227051670,,1992,59,59,"7,74","2,28",,PLASTIQUE,1992-11-30,GAZOLE,NANTES,Petite pêche,,,2018-01-01,
,JIF PATROL 1,840044,228060800,,1992,940,940,"14,83","21,35",,PLASTIQUE,1992-10-09,GAZOLE,Marseille (RIF),Cabotage Internat.,2018-01-01,2019-09-16T00:00:00.000+02:00,,
,JEAN MOULIN,844237,,,1993,110,110,"10,04",,,METAL,1993-12-08,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,FEELING,844245,,,1993,110,110,"10,86",,,PLASTIQUE,1993-11-18,GAZOLE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,EXPLOREUR,844248,,,1994,95,95,"9,75",,,PLASTIQUE,1994-03-14,GAZOLE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,LA PIROGUE,844250,,,1994,110,110,"7,98",,,METAL,1994-03-22,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,SAKANA,844254,,,1994,112,112,8,,,METAL,1994-04-22,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,BALAOU,844255,,,1994,114,114,8,,,METAL,1994-04-28,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,EOLE,844258,227785640,,1994,165,165,10,,,PLASTIQUE,1994-04-19,GAZOLE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,ANGIE,844259,,,1994,110,110,"10,86",,,BOIS,1994-05-25,GAZOLE,ARCACHON,,,,2018-01-01,
,LES BORDELAIS,844261,,,1994,110,110,"10,5",,,BOIS,1994-05-30,GAZOLE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,PLAYNE,844264,,,1994,33,33,"10,57",,,METAL,1994-07-21,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,NA KWATO,844270,,,1994,110,110,"9,3",,,METAL,1994-09-12,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,J.M.C.,844272,,,1994,40,40,"10,04",,,METAL,1994-10-14,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,ROC 2,844273,,,1994,51,51,"10,06",,,METAL,1994-10-25,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,OCEANIS,844275,228385000,,1996,486,486,21,"59,85",,METAL,1996-12-01,GAZOLE,ARCACHON,Pêche côtière,,,2018-01-01,
,LE GONE,844278,,,1994,110,110,10,,,METAL,1994-11-14,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-07-13,
,EH OUI,844280,,,1994,92,92,10,,,METAL,1994-11-21,ESSENCE,ARCACHON,Conchyl.Pure,,,2019-03-28,
,CAYOCK,844285,,,1995,88,88,9,,,METAL,1995-01-05,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,EUROS,844287,,,1991,55,55,"6,31",1,,PLASTIQUE,1995-01-09,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,LAUREN,844288,,,1994,110,110,"7,61",,,PLASTIQUE,1995-01-05,ESSENCE,ARCACHON,Conchyl.Pure,,,2019-02-14,
,BAPTISTE,844289,,,1994,84,84,"7,3",,,PLASTIQUE,1995-01-06,ESSENCE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,L'URTZOAT,844292,,,1994,110,110,"11,25",,,BOIS,1995-02-02,GAZOLE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,L'INTREPIDE,844294,227463820,,1998,110,110,"8,6",2,,PLASTIQUE,1998-11-04,ESSENCE,ARCACHON,Petite pêche,,,2018-01-01,
,LA CALYPSO II,844296,,,1994,110,110,"10,39",,,METAL,1994-11-14,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,MA POUCHETTE,844299,,,1995,110,110,"10,05",,,METAL,1995-04-11,GAZOLE,ARCACHON,Conchyl.PetitePêche,,,2018-01-01,
,SAN PETRU,844919,,CHANTIER ALLAIS,1993,169,169,"8,25","2,8",LE KALLISTE,PLASTIQUE,1993-04-01,GAZOLE,AJACCIO,Navigation côtière,2018-01-01,,,
,JOSIANE 3,845174,,,1992,170,170,"9,3","4,27",,PLASTIQUE,1994-10-04,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,MACABI 1,846739,,,1995,67,67,"7,4",1,,METAL,1995-05-02,ESSENCE,AURAY,Petite pêche,,,2018-01-01,
,NARVAL,846740,227693090,,1995,60,60,"6,23",2,,PLASTIQUE,1995-12-15,ESSENCE,AURAY,Petite pêche,,,2018-01-01,
,TSUNAMI,846753,227675370,,1994,147,147,"15,5",,,METAL,1994-08-11,GAZOLE,AURAY,Conchyl.Pure,,,2018-01-01,
,AEL MAT,846759,227716010,BIHORE,1995,96,96,"8,22",3,,PLASTIQUE,2009-04-14,GAZOLE,NOIRMOUTIER,Petite pêche,,,2018-01-01,
,TAMATAROA,846866,227613720,,1995,95,95,"6,25","1,26",,PLASTIQUE,1995-07-21,ESSENCE,AURAY,Petite pêche,,,2018-01-01,
,MAGELLAN,846883,,,1994,110,110,16,,,METAL,1994-12-09,GAZOLE,AURAY,Conchyl.Pure,,,2018-01-01,
,PENHOET,846927,,,1989,55,55,"9,6",,,AG/4 - ALU,1994-07-11,ESSENCE,NANTES,Navigation côtière,2018-01-01,,,
,YANN ROMAIN,846970,,,1994,162,162,"15,97",,,METAL,1995-01-13,GAZOLE,AURAY,Conchyl.Pure,,,2018-01-01,
,THEO-LEA,847022,,,1994,85,85,"6,04","0,29",,PLASTIQUE,1994-10-14,ESSENCE,AURAY,Petite pêche,,,2018-01-01,
,MAD-ATAO,847031,227683360,,1995,187,187,"15,87",,,METAL,1995-06-16,GAZOLE,AURAY,Conchyl.Pure,,,2018-01-01,
,CACTUS,847038,227632210,,1995,132,132,"8,1",3,,PLASTIQUE,1995-07-10,GAZOLE,AURAY,Petite pêche,,,2018-01-01,
,JAH,847047,227457860,,1994,55,55,"5,2","1,2",,AG/4 - ALU,1994-11-25,ESSENCE,AURAY,Petite pêche,,,2018-08-21,
,GOEMONEN,847071,227562920,,1995,169,169,"16,9",,,METAL,1995-11-23,GAZOLE,AURAY,Conchyl.Pure,,,2018-01-01,
,NINA III,847078,227404310,,1995,66,66,"6,25","1,26",,PLASTIQUE,1995-10-20,ESSENCE,AURAY,Petite pêche,,,2018-01-01,
,MASCARET,847305,,,1994,73,73,"9,25",,,METAL,1994-04-08,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,FISHBONE,847306,,,1994,47,47,"7,99",,,METAL,1994-10-24,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,LA BELETTE,847310,,,1994,55,55,"6,19",,,METAL,1994-05-17,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,LES PIERROTS,847313,,,1994,55,55,"9,75",,,METAL,1994-10-04,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,FADY II,847350,,,1992,29,29,"4,7","0,77",,METAL,1992-10-14,ESSENCE,VANNES,,,,2018-10-03,
,CYRANO,847351,227320880,,1993,148,148,17,,,METAL,1993-03-18,GAZOLE,VANNES,Conchyl.Pure,,,2018-01-01,
,ETRILLE,847352,,,1993,58,58,"9,11",4,,PLASTIQUE,1993-05-14,GAZOLE,SAINT NAZAIRE,Petite pêche,,,2018-01-01,
,BRENN,847353,227643430,,1993,153,153,"15,5",,,METAL,1993-08-03,GAZOLE,VANNES,Conchyl.Pure,,,2018-01-01,
,LA FEE DES ILES,847361,227001190,,1993,294,294,"19,76",,,PLASTIQUE,1993-04-27,GAZOLE,VANNES,Navigation côtière,2018-07-27,,,
,MARCEAU,847534,227068890,,1995,37,37,"7,92",,,METAL,1995-05-31,ESSENCE,VANNES,Conchyl.Pure,,,2019-01-25,
,CELTE,847542,,,2002,220,220,"11,9","7,31",,METAL,2002-02-11,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,LE LAJUCHA,847544,,,2002,220,220,"10,4","5,91",,METAL,2002-02-14,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,FLOMELIVAL,847545,,,2002,220,220,"11,9","7,31",,METAL,2002-09-17,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,OCEANE,847546,,,2002,29,29,7,"2,23",,METAL,2003-01-14,ESSENCE,SAINT BRIEUC,Petite pêche,,,2018-01-01,
,EOLE,847548,227016590,,2002,294,294,"11,92","6,52",,METAL,2002-12-23,ESSENCE,VANNES,Conchyl.Pure,,,2018-01-01,
,NEDELYDE,847904,227788360,,1993,110,110,"10,5","1,8",,METAL,1993-10-15,ESSENCE,VANNES,Petite pêche,,,2018-01-01,
,V B MAHAVEL,850024,227004200,,1995,2470,2470,"30,4",315,,METAL,1995-12-15,GAZOLE,SAINT DENIS DE LA REUNION,Remorquage CI,2018-01-01,,,
,FRANCOYSE DE GRACE,850055,,,1995,772,772,"16,75",,,PLASTIQUE,1996-03-01,GAZOLE,LE HAVRE,Navigation côtière,2018-01-01,,,
,ESTEOU,850376,227005780,,1992,492,492,"16,55",,,PLASTIQUE,,GAZOLE,MARSEILLE,Pilotage,2018-01-01,,,
9032123,VB PROVENCE,850433,227272000,,1992,4324,3600,"34,87",498,,METAL,2019-08-06,GAZOLE,MARSEILLE,Remorquage CI,2018-01-01,,,
,CITHARISTA,850598,227002480,,1993,427,427,14,,FRA - RATOUIN - SALESSES,METAL,1993-03-31,GAZOLE,MARSEILLE,Navigation côtière,2018-01-01,,,
9050618,KALLISTE,850601,227202000,,1993,30984,19720,165,30718,,METAL,,GAZOLE,BASTIA,Cabotage Internat.,2018-01-01,,,
,EOLE,850945,,,1992,15,15,"5,5","0,75",,PLASTIQUE,1995-04-07,ESSENCE,PORT VENDRES,Petite pêche,,,2019-03-25,
,BONANCE 2,850949,,,1992,22,22,"5,52","0,59",,PLASTIQUE,1992-09-25,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,LE BREIHZ,851005,,,1978,18,18,"5,56","0,94",,PLASTIQUE,1994-08-31,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,NICOLAS,851007,,,1992,7,7,"5,52","0,69",,PLASTIQUE,1995-03-27,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
8229327,OLGA,851457,228108900,,1994,630,552,"26,4",177,,METAL,1994-11-14,GAZOLE,BAYONNE,Pêche au large,,,2018-01-01,
,LOIC 2,851750,227317560,,1995,162,162,"11,95",3,,PLASTIQUE,1995-10-27,GAZOLE,BOULOGNE SUR MER,Petite pêche,,,2018-01-01,
,LAURENT GEOFFREY,851751,227306990,,1995,162,162,"11,92","15,81",,PLASTIQUE,1996-02-07,GAZOLE,BOULOGNE SUR MER,Petite pêche,,,2018-01-01,
,ALCYONE,851906,227637860,,1996,70,70,"8,83","3,98",,PLASTIQUE,1996-01-11,GAZOLE,DIEPPE,Petite pêche,,,2018-01-01,
,CAP A L'EST,851907,227638350,,1996,70,70,"8,83","3,98",,PLASTIQUE,1996-01-11,GAZOLE,CHERBOURG,Petite pêche,,,2018-01-01,2018-05-24
,TIGRE 2,852108,,,1995,215,200,"13,07",,,PLASTIQUE,1995-10-16,GAZOLE,BOULOGNE SUR MER,Navigation côtière,2018-01-01,,,
,LA VANDREE,852971,227005550,,1995,559,559,"14,61",,,PLASTIQUE,1995-06-26,GAZOLE,BREST,Pilotage,2018-01-01,,,
,NADIA-TONY,853149,227311460,,1997,200,200,"11,96","15,98",,PLASTIQUE,1997-10-03,GAZOLE,BREST,Petite pêche,,,2018-01-01,
,CAIA,853748,347004170,,1994,110,110,"7,6","3,35",,PLASTIQUE,1995-02-21,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LA SEMENCE,853749,,,1994,11,11,"5,77","0,6",,PLASTIQUE,1995-02-24,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,PATIENCE DANS LA VIE,853803,,,1995,22,22,"6,1","0,76",,PLASTIQUE,1995-03-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,CHALOM,853813,227306520,,1995,25,25,7,"2,55",,PLASTIQUE,1995-05-11,GAZOLE,FORT DE FRANCE,,,,2018-01-01,
,C'EST A DIRE,853819,347005510,,1995,110,110,"6,5","2,62",,PLASTIQUE,1995-06-26,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,HEIDI,853825,347003990,,1995,110,110,"7,2","2,39",,PLASTIQUE,1995-09-13,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,COURAGE 2,853829,347003150,,1995,331,331,"8,11","3,7",,PLASTIQUE,1995-11-06,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,GREAT STORY,853830,227301530,,1995,184,184,"11,93","12,83",,PLASTIQUE,1995-12-22,GAZOLE,FORT DE FRANCE,Pêche au large,,,2019-03-18,2019-09-16
,JUBON,853834,347009190,,1995,85,85,7,"2,55",,PLASTIQUE,1995-11-06,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,KEEP IT COOL,853838,227304490,,1995,165,165,"6,93","0,6",,PLASTIQUE,2009-12-29,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ANDY,853849,227307410,,1996,85,85,"6,97","2,08",,PLASTIQUE,1996-01-24,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,LEILA,853850,227307670,,1996,110,110,"7,2","2,78",,PLASTIQUE,1996-01-29,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,EXODE,853852,227307240,,1996,35,35,"6,4","1,04",,PLASTIQUE,2018-04-30,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-05-23,
,MIRAGE II,853863,347011520,,1995,110,110,7,"2,55",,PLASTIQUE,1996-02-22,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,STEVAHNS,853868,,,1996,29,29,"6,5","0,99",,PLASTIQUE,2016-04-08,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,L'ARC EN CIEL,854044,347013660,,1996,453,453,"15,43","17,39",,BOIS,1997-01-15,GAZOLE,FORT DE FRANCE,Navigation côtière,2018-01-01,,,
,TOI JESUS T'AIME,854051,347008330,,1997,92,92,"6,97","2,28",,PLASTIQUE,1997-02-28,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TABOU,854053,,,1995,29,29,"6,2","0,77",,PLASTIQUE,1997-02-24,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ALEDIYO,854054,227310580,,1997,221,221,"7,6","3,35",,PLASTIQUE,1997-02-20,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ANDY,854061,347008380,,1995,166,166,"7,65","0,79",,PLASTIQUE,2007-03-10,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,SAGITAIRE,854066,227310680,,1997,85,85,"6,97","2,28",,PLASTIQUE,1997-03-24,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,DIAPA,854067,347020320,,1997,85,85,"6,97","2,28",,PLASTIQUE,1997-04-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LENNY-OLIVIER,854079,347004370,,1997,165,165,7,"2,36",,PLASTIQUE,1997-04-23,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LE GAMIN,854081,347003170,,1995,147,147,"7,65","2,41",,PLASTIQUE,1997-04-25,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MI GRATEL,854105,,,1997,15,15,"5,75","0,59",,PLASTIQUE,1997-06-26,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,GULF STREAM II,854275,227001840,,1994,442,442,"14,5",,,METAL,1994-06-27,GAZOLE,CAEN,Navigation côtière,2018-01-01,,,
,ENFANT DU VOYAGE,854421,227300230,,1995,203,198,"11,96",15,,PLASTIQUE,1995-05-12,GAZOLE,CONCARNEAU,Pêche côtière,,,2018-01-01,
9168063,CAP SAINTE MARIE,854429,228875000,,1997,7040,2950,"67,3",1596,,METAL,1998-02-05,GAZOLE,CONCARNEAU,Grande Pêche,,,2018-01-01,
9128520,AVEL VAD,854430,228255000,,1996,6794,2950,"67,3",1598,,METAL,1996-07-17,GAZOLE,CONCARNEAU,Grande Pêche,,,2018-01-01,
9128506,ANTEA,854508,228111000,,1995,1546,956,"34,95",571,,METAL,1995-11-17,GAZOLE,BREST,Grande Pêche,,,2018-01-01,
,BLEU MARIN,854739,227002190,,1993,427,427,"12,24",,,METAL,1993-05-05,GAZOLE,SETE,Navigation côtière,2018-01-01,,,
,LILINE,854753,227797740,,1993,45,45,"8,2","2,44",,PLASTIQUE,1993-06-04,GAZOLE,SETE,Petite pêche,,,2018-01-01,
,SAURINE,855188,227006540,YACHTING CREATION,1993,552,552,"18,2",77,,AG/4 - ALU,1993-07-09,GAZOLE,AURAY,Navigation côtière,2018-01-01,,,
,JULES VERNE III,855723,227001980,SNRTM SA TOULON 83,1993,699,699,"16,5",,,AG/4 - ALU,1999-01-26,GAZOLE,MARENNES,Navigation côtière,2018-01-01,,,
,LOUIS ANGELE,856416,227589660,PROMETA,1994,61,61,"7,98","2,79",,METAL,2009-03-06,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,SARRANIER,856574,227010520,,1994,316,316,"10,56",,,PLASTIQUE,1995-01-11,GAZOLE,TOULON,Navigation côtière,2018-01-01,,,
,SAN MICHELE,856600,227003940,,1994,559,559,"12,5",,,PLASTIQUE,1995-06-16,GAZOLE,AJACCIO,Navigation côtière,2018-01-01,,,
,L'ILE D'OR,856714,,,1994,122,122,"7,9","2,66",,METAL,1995-01-27,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,LE BOYARD,857239,,,1993,117,117,"11,94",,,METAL,1993-04-22,GAZOLE,MARENNES,Conchyl.Pure,,,2018-01-01,
,VERO 2,857289,,,1992,,,"9,9",,,CONTREPLAQUE,1993-05-24,INCONNU,MARENNES,Conchyl.Pure,,,2018-01-01,
,BIG SUR 1,857350,,,1993,110,110,"11,67",,,METAL,1993-06-06,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,PHILIPPINE,857366,,,1993,110,110,"9,28",,,METAL,1993-06-22,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,LOIC-YOANN 2,857367,227212320,,1993,110,110,"9,28",,,METAL,1993-06-22,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,LA FLECHE,857383,,,1993,48,48,"7,9",,,METAL,1993-06-25,ESSENCE,LA ROCHELLE,Conchyl.PetitePêche,,,2018-01-01,
,RIALTO,857433,,,1993,80,80,"9,5",,,PLASTIQUE,1993-07-02,ESSENCE,ARCACHON,Conchyl.Pure,,,2018-01-01,
,LE PINS,857486,228104900,,1993,132,132,"16,33",,,METAL,1993-10-13,GAZOLE,LA ROCHELLE,Conchyl.Pure,,,2018-01-01,
,JUSTEVALVA,857514,,,1993,110,110,9,,,BOIS,1993-07-30,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,EXODUS,857535,,,1993,110,110,"11,51",,,METAL,1993-07-30,ESSENCE,ILE D'OLERON,Conchyl.Pure,,,2018-01-01,
,ANGELE SYLVIE,859016,227048360,,1994,147,147,7,"1,99",,PLASTIQUE,1994-08-01,ESSENCE,SETE,Petite pêche,,,2019-03-20,
,LA RENAISSANCE,859026,227757550,SILLAGES,1994,85,85,"7,25","2,39",,PLASTIQUE,1995-03-31,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,MALFICELLI,859027,,,1975,112,112,"7,5",,,PLASTIQUE,1994-01-20,ESSENCE,SETE,Conchyl.PetitePêche,,,2018-01-01,
,BELMAR,859034,,,1994,49,49,9,,,PLASTIQUE,1994-08-24,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,SAINT CLAUDE,859037,,,1994,85,85,"7,6","2,41",,PLASTIQUE,1994-10-06,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,TEDDY YOANN,859041,,,1994,128,128,"8,9","2,17",,PLASTIQUE,1994-10-06,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,CYRIELLE,859048,,,1994,103,103,7,"2,23",,PLASTIQUE,1995-03-02,ESSENCE,SETE,Conchyl.Pure,,,2019-05-20,
,CHRIS FRED,859050,,,1994,110,110,"8,38",,,PLASTIQUE,1995-02-06,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,SEA WAY,859054,227317790,,1997,294,294,"11,96","12,26",,PLASTIQUE,1997-03-11,GAZOLE,LES SABLES D'OLONNE,Petite pêche,,,2018-01-01,
,OLGA,859056,227316140,,1996,279,279,"11,17","11,22",,PLASTIQUE,2010-06-29,GAZOLE,SETE,Petite pêche,,,2018-01-01,
,LOSYPAUNAIS,859060,,,1995,147,147,"11,77",,,METAL,1995-08-24,GAZOLE,SETE,Conchyl.Pure,,,2018-01-01,
,DIDINE,859061,,,1995,110,110,9,,,PLASTIQUE,1995-07-27,ESSENCE,SETE,Conchyl.PetitePêche,,,2018-01-01,
,MARIE'S,859068,,,1995,110,110,"9,98",,,PLASTIQUE,1995-09-19,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,JIF XPLORER,859074,228136000,,1989,2552,1250,"45,6",498,,PLASTIQUE,1995-12-04,GAZOLE,Marseille (RIF),Cabotage Internat.,2018-01-01,,,
9251470,ST SOPHIE FRANCOIS 2,859076,227145600,,2001,516,516,32,220,,METAL,2001-12-31,GAZOLE,SETE,Pêche au large,,,2018-01-01,
,ZETHOS,859080,,,1995,147,147,9,,,PLASTIQUE,1995-11-20,ESSENCE,SETE,Conchyl.PetitePêche,,,2018-01-01,
,BABA AU THE,859084,,,1995,73,73,9,,,PLASTIQUE,1996-01-02,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,CANAUXRAMA,859085,227002570,,1996,118,118,"8,78",,,PLASTIQUE,1996-05-13,GAZOLE,SETE,Navigation côtière,2018-01-01,,,
,LE PASSEUR,859086,227002580,,1996,118,118,"8,71","7,37",,PLASTIQUE,1996-05-23,GAZOLE,BAYONNE,Navigation côtière,2018-01-01,,,
,JEAN-MARC,859088,,,1996,85,85,9,,,PLASTIQUE,1996-05-22,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,BAGATELLE 3,859089,,,1996,110,110,9,,,PLASTIQUE,1996-08-12,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,NEPTUNE 3,859093,227315420,,2000,110,110,"14,6","19,58",,PLASTIQUE,2000-03-13,GAZOLE,SETE,Petite pêche,,,2018-01-01,
,TAILLEVENT,859099,,,1996,110,110,9,,,PLASTIQUE,1996-12-11,ESSENCE,SETE,,,,2018-05-03,
,BELOUGA II,863560,227682220,,1995,232,232,"10,61","6,24",,PLASTIQUE,1998-09-07,GAZOLE,PAIMPOL,Petite pêche,,,2018-01-01,
,L'ESTRELLA,863591,,,1995,20,20,"5,56","0,56",,PLASTIQUE,,ESSENCE,PORT VENDRES,,,,2018-01-01,
9145580,CHRISDERIC II,863686,228232000,,1996,522,522,"29,4",189,,METAL,2000-07-12,GAZOLE,MARSEILLE,Pêche au large,,,2018-01-01,
,ELFIE,863830,,DELAVERGNE P SARL,1994,66,66,"4,92",,,METAL,1995-01-23,ESSENCE,LES SABLES D'OLONNE,Conchyl.Pure,,,2018-01-01,
,L'EDEN,864281,228112000,,1995,160,160,"11,95",17,,PLASTIQUE,1995-11-30,GAZOLE,LES SABLES D'OLONNE,Petite pêche,,,2018-01-01,
,LE MIREILLE,864740,,,1995,40,40,"11,05",,,PLASTIQUE,1996-03-11,GAZOLE,LES SABLES D'OLONNE,Navigation côtière,2018-01-01,,,
,ALCATRAZ,864741,227304010,,1995,160,160,"11,97",15,,PLASTIQUE,1995-11-30,GAZOLE,BAYONNE,Pêche côtière,,,2018-01-01,
,OCEANA,864743,329014080,,1995,514,514,"21,5",139,,METAL,2014-02-07,GAZOLE,POINTE A PITRE,Navigation côtière,2018-01-01,,,
,FUN,865247,227316410,,1996,148,148,"10,5","7,53",,PLASTIQUE,2011-05-19,GAZOLE,SAINT BRIEUC,Petite pêche,,,2018-01-01,
,LAETITIA,865249,227818940,,1997,90,90,"7,16","3,13",,PLASTIQUE,1997-02-18,GAZOLE,BASTIA,Petite pêche,,,2018-01-01,
,SERENA,865255,,,1997,77,77,"7,16","1,83",,PLASTIQUE,1997-10-20,GAZOLE,BASTIA,Petite pêche,,,2018-03-22,
,SAINT CHRISTOPHE II,865261,227271610,,1998,200,200,"8,98","3,69",,PLASTIQUE,1998-06-08,GAZOLE,BASTIA,Petite pêche,,,2019-02-27,
,DAVID,869439,,,1995,57,57,"5,56",,,PLASTIQUE,1995-04-05,ESSENCE,BORDEAUX,Conchyl.PetitePêche,,,2018-01-01,
,COLIBRI,869875,,,1993,48,48,"7,49",,,METAL,1993-11-25,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,FELIX,869878,,,1993,36,36,"8,3",,,METAL,1993-12-15,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,PLOUM,869882,227614010,BIHORE,1994,85,85,"8,2",3,,PLASTIQUE,1994-04-05,GAZOLE,SAINT MALO,Petite pêche,,,2018-04-09,
,LA DESIRADE,869883,227606810,,1994,85,85,"8,23",4,,PLASTIQUE,1994-07-04,GAZOLE,NOIRMOUTIER,Petite pêche,,,2018-01-01,
,P'TIT ROI,869884,228297000,,1994,152,152,"11,95",16,,PLASTIQUE,2009-05-06,GAZOLE,DIEPPE,Petite pêche,,,2018-01-01,2019-09-16
,PASSE PARTOUT,869888,227787430,,1994,85,85,"6,9","3,92",,PLASTIQUE,1994-10-31,GAZOLE,NOIRMOUTIER,Petite pêche,,,2018-01-01,
