num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,LAURATOM,551434,,BAUDIGNON  SETE 34,1981,7,7,"6,05","3,1",,PLASTIQUE,2001-05-25,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,SEA FOOD,552815,227339850,,1979,29,29,"5,04","1,36",,PLASTIQUE,1981-01-01,ESSENCE,TOULON,Petite pêche,,,2019-05-10,
,LOVE SHAKE,553047,,INCONNU,1981,85,85,"5,7",,,PLASTIQUE,1987-04-09,GAZOLE,SETE,Conchyl.Pure,,,2018-01-01,
,BIMBO,556521,,,1982,55,55,7,,,METAL,1982-12-14,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,CALYPSO,557264,,,1981,40,40,"7,05","1,99",,PLASTIQUE,2003-12-16,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TI POUCE,557281,,,1981,55,55,"7,06","0,39",,PLASTIQUE,2007-06-04,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,ANGE GARDIEN II,557378,,,1982,18,18,"6,32","0,3",,PLASTIQUE,2009-11-26,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MISS ANTOINETTE II,557473,,,1982,7,7,"5,75","0,5",,PLASTIQUE,2002-11-22,GAZOLE,FORT DE FRANCE,,,,2018-01-01,
,PERSPICACITE,557667,,,1982,55,55,7,"1,47",,PLASTIQUE,2005-05-17,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ANTHONIA,557673,,,1982,110,110,7,"0,86",,PLASTIQUE,2018-02-02,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-02-21,
,ACEDIR,557746,,,1983,40,40,"7,65","0,63",,PLASTIQUE,2001-11-26,INCONNU,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SAUVAGE,557791,347010460,,1983,55,55,7,"1,47",,PLASTIQUE,2005-05-10,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,LOU CAPOL,630439,,,1963,22,22,"5,25","0,26",,POLYESTER EPOXY,2011-11-30,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,LEA,631112,227269030,PORNEBUVKEIK NORWAY,1977,44,44,"6,7","2,45",,POLYESTER EPOXY,2013-10-25,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,LA CASSIDAIGNE,632956,227371790,LES HERBIERS 85 VENDEE,1985,220,220,"11,9","10,57",,POLYESTER EPOXY,1985-03-19,GAZOLE,PORT VENDRES,Navigation côtière,2018-01-01,,,
,ISA,635821,,CHANTIER JEANNEAU,1984,37,37,"5,08","0,66",,PLASTIQUE,2014-07-09,ESSENCE,AJACCIO,Petite pêche,,,2018-01-01,
,ETOILE D'ARVOR II,637585,226199000,,1984,254,254,"14,83",35,,BOIS,1985-11-04,GAZOLE,BREST,Pêche côtière,,,2018-01-01,
,CA PAS FACILE,641315,,,1985,35,35,"7,06","1,47",,PLASTIQUE,2000-05-10,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,YAHVE-JIRE,641524,,,1985,15,15,"5,75","0,5",,PLASTIQUE,2003-12-10,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,TI PAPAM,641561,,,1985,29,29,"6,32","0,29",,PLASTIQUE,2010-10-06,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,LE TAMARIN,641679,,,1985,11,11,"5,75","0,5",,PLASTIQUE,1999-10-18,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LE RELAX,641813,,DRACIUS,1986,18,18,"5,75","0,5",,PLASTIQUE,2004-10-27,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,TI DJANGO,641857,,,1986,55,55,"7,15","0,47",,PLASTIQUE,2006-09-04,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,GWANELLA,641889,,,1986,18,18,"5,77","0,63",,PLASTIQUE,2011-03-01,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,FATALE MISSION,641902,347012280,,1986,147,147,"7,61","0,58",,PLASTIQUE,2011-06-15,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,J'AIME LA MER,641985,227311450,,1986,36,36,7,"0,76",,PLASTIQUE,2009-09-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LE MARGINAL,644636,227623660,GIBERT MARINE,1986,96,96,"8,2","5,46",,PLASTIQUE,1986-07-03,GAZOLE,BREST,,,,2018-01-01,
,MAYRICK,653469,,ETAP,1984,,,"7,36","3,99",,POLYESTER EPOXY,2013-08-20,,CAEN,Plaisance NC,2018-01-01,,,
,BAD,656679,,,1986,29,29,"4,8",1,,PLASTIQUE,2010-04-06,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-02-26,
,LAY-LINE,660900,,,1986,57,57,"5,87","2,39",,POLYESTER EPOXY,2009-03-30,GAZOLE,CHERBOURG,,,,2018-01-01,
,CORSAIRES DE RETZ,661019,228137700,FORMOSA BOAT BUILDING CO,1979,,,"15,5",,,POLYESTER EPOXY,2004-06-21,,SAINT NAZAIRE,Plaisance NC,2018-01-01,,,
,LA MATTE,661021,,,1984,14,14,"7,5",,,METAL,2004-11-25,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,C REPARTI,661455,227098220,PLASTI-PECHE,1986,82,82,"7,99","3,59",,POLYESTER EPOXY,1986-10-30,GAZOLE,SAINT NAZAIRE,Petite pêche,,,2018-10-23,
,ADONAI,697413,,,1986,18,18,"5,75","0,56",,PLASTIQUE,2003-01-24,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,YODI,697465,347010140,,1989,66,66,"6,5","1,06",,PLASTIQUE,2004-10-27,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,DIEGO,701240,,,1986,29,29,"6,04","1,13",,PLASTIQUE,2015-09-11,ESSENCE,SETE,Petite pêche,,,2018-01-01,2019-09-16
,GRIGRI II,701355,227033430,SWIFT CRAFT,1985,29,29,"4,9","1,04",,AUTRES,2019-07-03,GAZOLE,MARTIGUES,,,,2018-01-01,
,SAQUENAT,701795,,,1988,44,44,"6,45","0,55",,PLASTIQUE,1988-04-26,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,PALOMA,702437,,SILLAGE AGDE,1988,132,132,"8,6","3,31",,POLYESTER EPOXY,2019-03-25,ESSENCE,SETE,Petite pêche,,,2019-04-29,
,LA KEKE,703319,,,1988,85,85,"7,48","1,41",,PLASTIQUE,2007-11-05,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,PAOLA MARIA,703333,,CN SILLAGE A AGDE,1988,147,147,"7,25","1,82",,PLASTIQUE,2013-11-04,ESSENCE,AJACCIO,Petite pêche,,,2018-01-01,
,CARLA,704059,,JEANNEAU,1985,110,110,"5,7","1,91",,POLYESTER EPOXY,2009-03-26,ESSENCE,AJACCIO,Petite pêche,,,2018-01-01,
,ZEF,706021,,,2010,147,147,"6,95","1,36",,POLYESTER EPOXY,,GAZOLE,MARSEILLE,Plaisance NC,2018-01-01,,,
,NEW HORIZON,717827,329017930,KARUPLAST,2004,74,74,"5,9","1,07",,PLASTIQUE,2017-02-13,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-02-07,
,DREAM,718300,227801310,,1987,44,44,"10,78","6,96",,POLYESTER EPOXY,1988-02-10,GAZOLE,ARCACHON,Plaisance NC,2018-06-05,,,
,MACYMARA,719789,227132750,GUJAN MESTRAS,1988,62,62,"9,98",,,PLASTIQUE,2011-06-08,GAZOLE,ARCACHON,Plaisance NC,2018-06-28,,,
,LOLA,720728,227259140,JEANNEAU,1989,282,282,"9,33",10,,POLYESTER EPOXY,2011-11-29,GAZOLE,BASTIA,Petite pêche,,,2018-12-10,
,DRANEM 6,724866,227144980,CHANTIER AQUITAINE,1990,360,360,"10,45","13,33",,POLYESTER EPOXY,2013-06-28,GAZOLE,AURAY,Plaisance NC,2018-01-01,,,
,LUTHEMA 2,727024,227891730,SEA RAY,1987,184,184,"7,2","3,1",,PLASTIQUE,2018-09-10,ESSENCE,SETE,Petite pêche,,,2018-10-01,
,NIGNO,727970,,CN JULLIEN,1987,29,29,"5,2","1,26",,AUTRES,2008-10-07,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,LE FLOT,732483,227131560,,1988,25,25,"6,17","1,12",,PLASTIQUE,2011-04-19,GAZOLE,LE GUILVINEC,Petite pêche,,,2018-01-01,
,SAN ANTONIO,733546,227250360,CONSTRUCTIONS NAVALOS D'AQUITAINE,1989,398,250,"10,8","6,43",,POLYESTER EPOXY,,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,MARINA,739090,,,1988,129,129,"7,25","3,9",,PLASTIQUE,1988-08-11,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,KYLIAN-TONY,740806,,ALLEMAND,2011,74,74,"7,15",1,,POLYESTER EPOXY,2011-03-18,ESSENCE,MARSEILLE,Petite pêche,,,2018-01-01,
,CAJUALS,741384,,ALLEMAND,1982,29,29,"5,7","0,97",,PLASTIQUE,,ESSENCE,SETE,Conchyl.Pure,,,2019-02-27,
,AMEME,779119,347001110,,1990,28,28,"6,33","1,39",,PLASTIQUE,2000-12-28,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,FIRE FOX 2,779208,347008420,SAINTE-ANNE,1990,199,199,"7,6","3,41",,PLASTIQUE,2005-10-17,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SIMBY,779225,227300880,,1990,63,63,"7,15","1,65",,PLASTIQUE,2003-05-26,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-04-29,
,PA JOUE 2,779234,227307760,,1990,85,85,7,"1,87",,PLASTIQUE,1995-04-10,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,DAVID II,779250,,,1990,,,"5,77","1,03",,PLASTIQUE,2001-10-12,INCONNU,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,STEEVENS 1,779336,347014990,USA,1990,147,147,"6,96","0,79",,PLASTIQUE,2006-09-15,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MES TROIS FILS,779488,347003660,,1990,29,29,"6,27","0,92",,PLASTIQUE,2002-02-04,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,QUIET,779521,329019930,GILBERT MARINE,1990,419,419,"11,6","19,64",,PLASTIQUE,2018-10-17,GAZOLE,POINTE A PITRE,Plaisance NC,2018-11-13,,,
,MATHIEU,779619,,,1991,29,29,"6,26","0,97",,PLASTIQUE,2003-11-06,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ASWAD,779653,347011180,DRACIUS,1991,85,85,"6,1","0,21",,PLASTIQUE,2008-04-02,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,BILLY DOUCINE,779699,,,1991,29,29,"6,1","0,78",,PLASTIQUE,2011-06-16,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MELISSA LOLA,781446,227715080,DEL PONTE / DISANTIS,1989,110,110,"11,28","5,19",,PLASTIQUE,2001-02-12,GAZOLE,SETE,Petite pêche,,,2018-01-01,
,PAOLA,781757,,STENTO,1990,29,29,"5,03","1,14",,POLYESTER EPOXY,2016-10-17,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,KIMETTE,783048,,ALLEMAND,1991,36,36,"5,15","0,58",,PLASTIQUE,2001-01-09,ESSENCE,MARTIGUES,Petite pêche,,,2018-01-01,
,PA YENG,784010,227452950,C N WEST ARCHITECTE,1988,,,"11,95","14,6",,AUTRES,1988-06-30,,LA ROCHELLE,Plaisance NC,2018-01-01,,,
,STELLA MARINE II,790119,227569030,,1990,240,240,"9,73","10,27",,PLASTIQUE,2001-04-18,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,AZUR,790296,,,1990,229,229,"8,5",,,METAL,2001-05-30,ESSENCE,TOULON,Navigation côtière,2018-01-01,,,
,LADY LA FEE,790382,660003500,,1990,41,41,"12,95",22,,PLASTIQUE,1991-11-13,GAZOLE,SAINT DENIS DE LA REUNION,Plaisance NC,2018-01-01,,,
,GEORGES,790703,227040170,,1991,37,37,"7,9","1,98",,BOIS,1991-12-17,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
