imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
9726047,UNITY DISCOVERY,Bulk carrier,2019.0,EIV (4.5 gCO₂/t·nm),NASSAU,,,09/04/2020,30/06/2021,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,233.7,211.4,728.85,0.0,658.55,40.81,29.49,,,658.55,372.6,78.06,2.08,,,,,243.44,6.49,,,,,,372.6,,,75.31,1.88,,,,,234.61,5.87,,,,,,
9726114,SHAAMIT,Gas carrier,2019.0,EEDI (5.82 gCO₂/t·nm),Singapore,,,16/04/2020,30/06/2021,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,Yes,,1760.6,1466.7,5536.96,640.56,2081.75,2587.4,227.26,,,4605.6,1296.2,119.13,3.73,,,,,374.66,11.74,,,,,,1296.2,,,117.27,3.11,,,,,368.23,9.77,,,,,,
9726164,IVS TEMBE,Bulk carrier,2019.0,EEDI (5.3 gCO₂/t·nm),SINGAPORE,,,04/03/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,2463.68,,7719.8,981.1,4367.45,2113.79,257.47,,,,4620.4,65.04,2.44,,,,,203.79,7.63,,,,,,4620.4,,,,,,,,,,,,,,,,
9726190,KODIAK ISLAND,Bulk carrier,2019.0,EEDI (5.29 gCO₂/t·nm),"Hong Kong, China","Hong Kong, China",,24/04/2020,30/06/2021,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,Yes,,,,599.01,,1874.43,42.48,734.56,990.89,106.5,,,,928.6,63.7,2.06,,,,,199.32,6.44,,,,,,928.6,,,,,,,,,,,,,,,,
9726229,IVS HIRONO,Bulk carrier,2019.0,EEDI (4.51 gCO₂/t·nm),Singapore,,,04/03/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,880.56,,2768.39,257.28,2357.0,0.0,154.11,,,,744.4,104.52,2.14,,,,,328.59,6.72,,,,,,744.4,,,,,,,,,,,,,,,,
9726243,IVS BOSCH HOEK,Bulk carrier,2019.0,EEDI (4.5 gCO₂/t·nm),Singapore,,,04/03/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1593.06,,4981.67,403.93,2481.09,1937.36,159.29,,,,1452.8,93.4,2.26,,,,,292.08,7.07,,,,,,1452.8,,,,,,,,,,,,,,,,
9726322,NAVIGATOR AURORA,Gas carrier,2019.0,EEDI (8.48 gCO₂/t·nm),,,,21/04/2020,30/06/2021,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,10549.55,5876.85,32769.61,1056.76,14228.55,16756.02,728.28,,,18241.94,7162.54,110.16,10.71,,,,,342.19,33.26,,,,,,7162.54,,,115.01,5.96,,,,,357.01,18.52,,,,,,
9726413,SARITA NAREE,Bulk carrier,2019.0,EEDI (4.94 gCO₂/t·nm),Bangkok,-,,24/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,,Yes,,,1178.41,1062.59,3693.79,766.04,2131.41,568.42,227.91,,,3324.2,1256.7,86.69,1.95,,,,,271.72,6.11,,,,,,1256.7,,,89.08,1.76,,,,,278.67,5.5,,,,,,
9726425,SARIKA NAREE,Bulk carrier,2019.0,EEDI (4.94 gCO₂/t·nm),Bangkok,-,,14/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,,Yes,,,485.06,,1528.62,0.0,131.19,1351.94,45.49,,,,526.3,100.01,1.99,,,,,315.18,6.28,,,,,,526.3,,,,,,,,,,,,,,,,
9726449,SAROCHA NAREE,Bulk carrier,2019.0,EEDI (4.94 gCO₂/t·nm),Singapore,-,,15/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,,Yes,,,2310.16,2068.73,7252.23,512.25,2830.34,3632.47,277.16,,,6478.2,2803.36,87.71,2.01,,,,,275.35,6.32,,,,,,2803.36,,,85.51,1.8,,,,,267.76,5.65,,,,,,
