imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
5383304,ASTORIA,Passenger ship,2019.0,EIV (169.16 gCO₂/t·nm),,,,15/03/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,7689.55,,24512.83,17874.11,2250.11,695.02,3693.58,,,,4529.55,157.56,,,,663.71,,502.27,,,,2115.78,,,4529.55,,,,,,,,,,,,,,,,
6417097,MARCO POLO,Passenger ship,2019.0,EIV (68.95 gCO₂/t·nm),,,IC,10/03/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,8458.51,,26799.64,17773.73,2723.17,3404.79,2898.06,,,,4450.5,149.69,,,,205.95,,474.29,,,,652.52,,,4450.5,,,,,,,,,,,,,,,,
6602898,OCEAN MAJESTY,Passenger ship,2019.0,EIV (31.73 gCO₂/t·nm),Madeira,,,24/06/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,5187.27,,16398.94,11526.87,1145.32,1614.42,2112.33,,,,3687.78,115.79,,,,331.2,,366.04,,,,1047.05,,,3687.78,,,,,,,,,,,,,,,,
6703343,EQUALITY,Other ship types,2019.0,EIV (57.84 gCO₂/t·nm),Beirut,,,30/06/2020,30/06/2021,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,1607.6,,5059.0,0.0,2394.63,2509.12,155.25,,,,2743.0,56.58,105.98,,0.32,,,178.06,333.51,,1.01,,,,2743.0,,,,,,,,,,,,,,,,
7037806,IONIAN STAR,Ro-pax ship,2019.0,EIV (19.4 gCO₂/t·nm),,,,04/08/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,3468.0,,11118.41,9871.0,0.0,0.0,1335.9,8338.81,2779.6,,2224.0,108.42,,,,298.48,123.42,347.58,,,,956.91,395.67,,2224.0,,,,,,,,,,,,,,,,
7043843,TALOS,Ro-ro ship,2019.0,EIV (48.71 gCO₂/t·nm),Piraeus,Piraeus,,30/06/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,Yes,,3321.98,,10499.74,9949.79,0.0,0.0,549.95,,,,3685.0,67.27,148.2,,,,,212.61,468.41,,,,,,3685.0,,,,,,,,,,,,,,,,
7128332,SEA WIND,Ro-pax ship,2019.0,EIV (9.29 gCO₂/t·nm),Tallinn,Tallinn,IB,27/04/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,4122.6,,13046.64,10956.03,0.0,0.0,2053.17,3189.28,7766.71,,3825.5,83.87,,,,440.74,42.55,265.41,,,,1391.76,134.36,,3825.5,,,,,,,,,,,,,,,,
7128887,ST DAMIAN,Ro-pax ship,2019.0,EIV (27 gCO₂/t·nm),,,,22/07/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,2010.0,,6401.38,77.4,2618.4,2541.8,1163.78,2771.81,2462.59,,1918.0,83.78,,,,125.29,256.46,266.82,,,,400.09,811.75,,1918.0,,,,,,,,,,,,,,,,
7205910,SARDINIA REGINA,Ro-pax ship,2019.0,EIV (10.78 gCO₂/t·nm),Genova,,,18/08/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,7104.16,,22487.89,19181.2,0.0,0.0,3115.0,1574.15,20913.74,,4259.26,113.11,,,,21.01,273.5,358.03,,,,66.51,865.76,,4259.26,,,,,,,,,,,,,,,,
7224459,RIGEL I,Ro-pax ship,2019.0,EIV (155.7 gCO₂/t·nm),Limassol,Republic of Panama,,01/06/2020,30/06/2021,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,2846.81,,8950.48,5886.0,1404.0,1180.0,480.0,4454.37,4496.1,,4329.0,116.42,,,,143.74,362.07,366.03,,,,451.93,1138.36,,4329.0,,,,,,,,,,,,,,,,
7225910,AEGEAN ODYSSEY,Passenger ship,2019.0,EIV (116.18 gCO₂/t·nm),PANAMA CITY,,,21/04/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,1285.8,,4066.69,2395.61,548.35,287.56,835.16,,,,1089.02,131.96,,,,412.21,,417.35,,,,1303.74,,,1089.02,,,,,,,,,,,,,,,,
7226952,FJARDVAGEN,Ro-ro ship,2019.0,EIV (43 gCO₂/t·nm),Mariehamn,Mariehamn,IA,30/04/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1599.7,,5128.64,4406.4,0.0,0.0,722.2,,,,2416.3,48.39,86.53,,,,,155.15,277.41,,,,,,2416.3,,,,,,,,,,,,,,,,
7230599,MARKO POLO,Ro-pax ship,2019.0,EIV (45 gCO₂/t·nm),Rijeka,,,24/03/2020,30/06/2021,,CROATIAN REGISTER OF SHIPPING,Croatian Accreditation Agency,Marasoviceva 67,21000 SPLIT,9568,Croatia,,Yes,,,3932.21,,12606.67,9485.44,0.0,0.0,3121.23,12606.67,12606.67,,2561.75,122.64,,,,0.74,0.45,393.17,,,,2.38,1.46,,2561.75,,,,,,,,,,,,,,,,
7304314,ALBATROS,Passenger ship,2019.0,Not Applicable,Nassau,,,03/02/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,6233.57,,19819.52,14265.53,2016.94,2492.31,1044.75,,,,3317.5,154.37,,,,240.71,,490.82,,,,765.34,,,3317.5,,,,,,,,,,,,,,,,
7305253,CORSICA VICTORIA,Ro-pax ship,2019.0,EIV (10.75 gCO₂/t·nm),Genova,,,18/08/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,5946.12,,18789.05,17784.09,0.0,0.0,822.43,1503.16,17285.9,,3867.33,111.11,,,,21.12,249.6,351.09,,,,66.73,788.69,,3867.33,,,,,,,,,,,,,,,,
7310507,FIDELITY,Other ship types,2019.0,EIV (31.13 gCO₂/t·nm),Beirut,,,04/05/2020,30/06/2021,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,522.9,,1637.41,0.0,690.01,881.71,65.7,,,,831.54,51.81,103.02,,5.87,,,162.23,322.58,,18.39,,,,831.54,,,,,,,,,,,,,,,,
7325629,OCEAN DIAMOND,Passenger ship,2019.0,EIV (3.11 gCO₂/t·nm),Nassau,,,02/07/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,1307.67,,4192.39,3191.19,151.55,164.47,681.98,,,,1512.91,81.5,,,,544.63,,261.29,,,,1746.1,,,1512.91,,,,,,,,,,,,,,,,
7342469,CHL INNOVATOR,Other ship types,2019.0,EIV (11.36 gCO₂/t·nm),SINGAPORE,,,12/03/2020,30/06/2021,001,"Nippon Kaiji Kyokai, Innovation and Sustainability Department",Deutsche Akkredierungsstelle GmbH,"Nippon Kaiji Kyokai, 4-7, Kioi-Cho, Chiyoda-Ku, Tokyo 102-8567, Japan",Tokyo,VS-21325-01,Japan,Yes,,,,617.13,,1938.93,0.0,1009.51,730.97,198.45,,,,612.5,89.62,8.35,,,,,281.58,26.25,,,,,,612.5,,,,,,,,,,,,,,,,
7346221,SUPERFERRY II,Ro-pax ship,2019.0,EIV (44.89 gCO₂/t·nm),PIRAEUS 9939,RAFINA,,30/06/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,5705.0,,17862.72,17862.72,0.0,0.0,0.0,4465.68,13397.04,,4098.0,72.52,,,,0.92,0.88,227.06,,,,2.89,2.74,,4098.0,,,,,,,,,,,,,,,,
7347548,PRINCE,Ro-pax ship,2019.0,EIV (196.79 gCO₂/t·nm),Limassol,,,11/06/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,3235.43,,10169.2,6408.45,1703.9,1510.32,705.98,10169.2,10169.2,,2273.33,117.06,,,,47.15,553.1,367.94,,,,148.18,1738.43,,2273.33,,,,,,,,,,,,,,,,
7349039,CORSICA MARINA SECONDA,Ro-pax ship,2019.0,EIV (11.49 gCO₂/t·nm),Genova,,,18/08/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,914.0,,2898.27,2811.71,0.0,0.0,86.56,405.76,2492.52,,548.92,108.65,,,,24.88,251.46,344.53,,,,78.9,797.36,,548.92,,,,,,,,,,,,,,,,
7350090,MOBY NIKI,Ro-pax ship,2019.0,EIV (7.61 gCO₂/t·nm),Napoli,,,01/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,2476.62,,7806.92,6589.73,0.0,0.0,1217.18,6643.68,1163.24,,2105.31,94.24,,,,572.58,89.45,297.06,,,,1804.9,281.98,,2105.31,,,,,,,,,,,,,,,,
7358755,MOBY KISS,Ro-pax ship,2019.0,EIV (7.31 gCO₂/t·nm),Napoli,,,01/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,1003.05,,3165.79,2928.83,0.0,0.0,236.96,3121.47,44.31,,742.87,85.8,,,,119.29,3.06,270.81,,,,376.5,9.67,,742.87,,,,,,,,,,,,,,,,
7359400,SALAMIS FILOXENIA,Passenger ship,2019.0,Not Applicable,Limassol,Limassol,,30/04/2020,30/06/2021,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,Yes,,,,3385.82,,10677.77,9285.88,228.04,178.85,985.0,,,,2668.0,115.18,,,,225.22,,363.23,,,,710.28,,,2668.0,,,,,,,,,,,,,,,,
7360605,MOBY VINCENT,Ro-pax ship,2019.0,EIV (10.47 gCO₂/t·nm),Napoli,,,01/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,1716.61,,5403.41,4627.85,0.0,0.0,775.56,4873.87,529.54,,1041.53,107.55,,,,203.96,24.81,338.53,,,,642.01,78.1,,1041.53,,,,,,,,,,,,,,,,
7360617,SARDINIA VERA,Ro-pax ship,2019.0,EIV (10.78 gCO₂/t·nm),Genova,,,18/08/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,2104.73,,6662.93,6548.44,0.0,0.0,114.49,866.2,5796.73,,1288.68,117.98,,,,31.2,307.88,373.48,,,,98.76,974.64,,1288.68,,,,,,,,,,,,,,,,
7360681,MOBY BABY TWO,Ro-pax ship,2019.0,EIV (18.19 gCO₂/t·nm),Napoli,,,02/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3185.6,,10003.36,8773.54,0.0,0.0,1229.82,8552.88,1450.48,,2569.84,96.96,,,,528.84,85.12,304.48,,,,1660.66,267.3,,2569.84,,,,,,,,,,,,,,,,
7361312,MOBY DREA,Ro-pax ship,2019.0,EIV (5.93 gCO₂/t·nm),Napoli,,IC,02/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,9694.84,,30301.44,27750.77,0.0,0.0,3550.67,29695.4,606.04,,2339.94,212.11,,,,249.86,7.28,662.96,,,,780.94,22.75,,2339.94,,,,,,,,,,,,,,,,
7361324,MOBY OTTA,Ro-pax ship,2019.0,EIV (5.56 gCO₂/t·nm),Napoli,,IC,03/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,9010.54,,28135.92,25597.64,0.0,0.0,2538.28,27854.55,281.37,,2201.8,206.3,,,,241.07,4.1,644.2,,,,752.74,12.79,,2201.8,,,,,,,,,,,,,,,,
7382378,GIUSEPPE SA,Ro-pax ship,2019.0,EIV (13.3 gCO₂/t·nm),Cagliari,,,03/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3772.77,,11841.0,10428.5,0.0,0.0,1412.5,2214.24,9626.76,,2684.45,96.76,,,,1261.11,51.82,303.69,,,,3958.04,162.63,,2684.45,,,,,,,,,,,,,,,,
7407324,ELEVATION,Other ship types,2019.0,EIV (42.41 gCO₂/t·nm),Beirut,,,04/05/2020,30/06/2021,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,940.0,,2937.65,0.0,1894.52,962.98,80.15,,,,760.33,118.26,154.41,,24.72,,,369.59,482.56,,77.24,,,,760.33,,,,,,,,,,,,,,,,
7411961,RAMDANE ABANE,Gas carrier,2019.0,EIV (8.4 gCO₂/t·nm),Algiers,Arzew,,11/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,,Yes,,,3639.85,1897.85,10606.78,0.0,5123.3,4714.1,769.38,,,5483.48,1864.0,235.67,11.09,,,,,686.75,32.3,,,,,,1864.0,,,239.05,5.78,,,,,690.7,16.7,,,,,,
7422881,YEOMAN BANK,Bulk carrier,2019.0,EIV (8.54 gCO₂/t·nm),Monrovia,,,30/06/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,6685.47,,21047.52,19504.39,0.0,75.13,1468.02,,,,6541.75,104.44,6.46,,,,,328.81,20.34,,,,,,6541.75,,,,,,,,,,,,,,,,
7426045,KEFALONIA,Ro-pax ship,2019.0,EIV (49.69 gCO₂/t·nm),Piraeus,"Poros, Cephalonia",,29/04/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,3714.6,,11661.38,8776.74,0.0,0.0,2884.6,841.53,10819.85,,2356.0,106.75,,,,32.22,307.84,335.13,,,,101.15,966.41,,2356.0,,,,,,,,,,,,,,,,
7516773,GALAXY,Ro-pax ship,2019.0,EIV (215.79 gCO₂/t·nm),Limassol,,,11/06/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,5092.17,,16138.78,5526.22,4021.21,4030.7,2596.34,16138.78,16138.78,,4399.32,189.91,,,,781.41,2056.59,601.88,,,,2476.54,6518.0,,4399.32,,,,,,,,,,,,,,,,
7521651,EXPRESS PEGASUS,Ro-pax ship,2019.0,EIV (78.24 gCO₂/t·nm),Piraeus,,,28/04/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,5947.12,,18821.93,17838.35,0.0,0.0,983.58,9359.5,9462.43,,4439.95,88.08,,,,186.83,211.45,278.75,,,,591.35,669.16,,4439.95,,,,,,,,,,,,,,,,
7527306,BOI BRANCO,Other ship types,2019.0,EIV (40.94 gCO₂/t·nm),LOME,BEIRUT,,27/04/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,2534.5,,7935.9,0.0,4239.07,3655.16,24.05,,,,4934.0,55.37,72.86,,,,,173.39,228.13,,,,,,4934.0,,,,,,,,,,,,,,,,
7529964,GEROITE NA ODESSA,Ro-ro ship,2019.0,EIV (32.5 gCO₂/t·nm),Varna,,IB,02/06/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,186.91,,585.13,0.0,269.56,278.19,28.89,,,,198.2,101.2,19.44,,,,,316.82,60.86,,,,,,198.2,,,,,,,,,,,,,,,,
7529976,GEROITE NA SEVASTOPOL,Ro-ro ship,2019.0,EIV (32.5 gCO₂/t·nm),Varna,,IB,02/06/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,1272.78,,3993.01,0.0,2000.73,1908.41,83.87,,,,1312.42,136.71,2.13,,,,,428.9,6.67,,,,,,1312.42,,,,,,,,,,,,,,,,
7602089,AF FRANCESCA,Ro-pax ship,2019.0,Not Applicable,Naples,Bari,,23/06/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,6923.53,,21735.82,307.02,9730.15,10681.39,1016.97,15763.31,5972.51,,3289.0,155.8,,,,251.82,49.32,489.1,,,,790.55,154.84,,3289.0,,,,,,,,,,,,,,,,
7609697,SOMERSET,Bulk carrier,2019.0,EIV (10.59 gCO₂/t·nm),Majuro,,,09/04/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,2392.97,,7517.9,1481.7,2470.56,3112.97,452.66,,,,4862.42,68.98,5.94,,,,,216.7,18.65,,,,,,4862.42,,,,,,,,,,,,,,,,
7609726,WINTERSET,Bulk carrier,2019.0,EIV (7.7 gCO₂/t·nm),Majuro,,,30/06/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,957.36,,3004.28,121.83,1704.91,1114.18,63.38,,,,1655.92,64.66,4.44,,,,,202.9,13.93,,,,,,1655.92,,,,,,,,,,,,,,,,
7615048,DUBROVNIK,Ro-pax ship,2019.0,EIV (3E+1 gCO₂/t·nm),Rijeka,,,19/03/2020,30/06/2021,,CROATIAN REGISTER OF SHIPPING,Croatian Accreditation Agency,Marasoviceva 67,21000 SPLIT,9568,Croatia,,Yes,,,3573.02,,11455.1,7280.64,1201.62,1213.64,1601.44,11455.1,11455.1,,2783.5,108.47,,,,1.1,0.79,347.76,,,,3.54,2.52,,2783.5,,,,,,,,,,,,,,,,
7615414,MOBY CORSE,Ro-pax ship,2019.0,EIV (8.78 gCO₂/t·nm),Livorno,,,03/05/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3578.78,,11204.77,10172.31,0.0,0.0,1032.46,11014.29,190.48,,1952.53,136.72,,,,144.81,4.04,428.05,,,,453.37,12.65,,1952.53,,,,,,,,,,,,,,,,
7625811,OCEAN ENDEAVOUR,Passenger ship,2019.0,EIV (3.11 gCO₂/t·nm),Nassau,,IB,09/07/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,619.55,,1986.28,1393.26,310.02,29.5,253.5,,,,587.3,122.24,,,,962.16,,391.89,,,,3084.68,,,587.3,,,,,,,,,,,,,,,,
7633143,POVL ANKER,Ro-pax ship,2019.0,EIV (9.15 gCO₂/t·nm),Roenne,Roenne,IC,30/06/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1659.49,,5320.32,2767.23,0.0,0.0,2553.1,4886.87,2986.55,,474.2,201.52,,,,530.34,513.76,646.06,,,,1700.28,1647.12,,474.2,,,,,,,,,,,,,,,,
7633375,SUNNANVIK,Bulk carrier,2019.0,EIV (17.9 gCO₂/t·nm),Slite,,,01/05/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,3177.77,,10187.93,8996.11,0.0,0.0,1191.83,,,,5105.25,63.42,17.09,,,,,203.33,54.79,,,,,,5105.25,,,,,,,,,,,,,,,,
7637149,VRONSKIY,Ro-pax ship,2019.0,EIV (86.12 gCO₂/t·nm),Limassol,,,07/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,6309.5,,19977.24,71.97,9497.75,9673.34,734.17,1634.32,17608.74,,3214.32,135.53,,,,433.3,455.9,429.13,,,,1371.27,1442.8,,3214.32,,,,,,,,,,,,,,,,
7719430,MOROCCO SUN,Ro-pax ship,2019.0,EIV (44.97 gCO₂/t·nm),Tanger,Tanger,,30/04/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,368.03,,1172.1,0.0,536.13,298.29,336.89,676.27,554.27,,309.6,112.51,,,,344.88,169.02,358.33,,,,1099.87,539.02,,309.6,,,,,,,,,,,,,,,,
7802067,FESTIVO,Ro-ro ship,2019.0,EIV (18.99 gCO₂/t·nm),Las Palmas de Gran canaria,Malaga,IA,26/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,1162.71,,3727.65,2677.4,258.56,266.51,525.17,,,,2545.6,46.57,92.62,,,,,149.3,296.94,,,,,,2545.6,,,,,,,,,,,,,,,,
7803190,MOROCCO STAR,Ro-pax ship,2019.0,EIV (47.92 gCO₂/t·nm),TANGER,,IC,30/04/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,7113.01,,22477.58,0.0,10193.56,9472.41,2811.61,4191.79,18285.78,,3955.85,155.99,,,,236.99,304.01,492.93,,,,748.91,960.7,,3955.85,,,,,,,,,,,,,,,,
7803205,KRONPRINS FREDERIK,Ro-pax ship,2019.0,Not Applicable,Rostock,,IC,30/04/2020,30/06/2021,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,2003.0,,6317.78,6179.0,0.0,0.0,108.0,6317.78,6317.78,,1209.0,155.39,,,,5044.7,228.45,490.13,,,,15911.79,720.57,,1209.0,,,,,,,,,,,,,,,,
7807744,RIGEL III,Ro-pax ship,2019.0,EIV (144.56 gCO₂/t·nm),Limassol,"Durres, Albania",,01/06/2020,30/06/2021,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,6851.9,,21485.59,0.0,10004.0,10232.0,1250.0,10639.13,10846.46,,3243.0,146.93,,,,136.48,265.36,460.73,,,,427.95,832.09,,3243.0,,,,,,,,,,,,,,,,
7813937,BARI,Ro-pax ship,2019.0,EIV (179 gCO₂/t·nm),Limassol,"Durres, Albania",,01/06/2020,30/06/2021,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,4282.27,,13420.6,4716.0,4285.0,3912.0,508.0,4290.94,9129.66,,2834.0,119.81,,,,115.62,254.38,375.49,,,,362.36,797.21,,2834.0,,,,,,,,,,,,,,,,
7814046,KRITI I,Ro-pax ship,2019.0,EIV (33.03 gCO₂/t·nm),CHANIA 24,,,24/04/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13435.52,,42127.6,39331.99,0.0,0.0,2795.61,289.66,41837.94,,4400.03,167.71,,,,5.64,73.94,525.85,,,,17.69,231.85,,4400.03,,,,,,,,,,,,,,,,
7814058,KRITI II,Ro-pax ship,2019.0,EIV (33.1 gCO₂/t·nm),CHANIA 25,,,24/04/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,11634.48,,36322.16,32711.43,0.0,0.0,3610.71,513.47,35808.7,,3110.8,201.69,,,,4.2,54.87,629.67,,,,13.11,171.3,,3110.8,,,,,,,,,,,,,,,,
7826788,RIGEL II,Ro-pax ship,2019.0,EIV (127.22 gCO₂/t·nm),Limassol,"Durres, Albania",,01/06/2020,30/06/2021,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,5233.5,,16373.43,0.0,7984.0,7786.0,603.0,8193.51,8179.93,,1710.0,213.5,,,,152.42,315.7,667.95,,,,476.85,987.69,,1710.0,,,,,,,,,,,,,,,,
