,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
0,5383304,ASTORIA,Passenger ship,2018.0,Not Applicable,,,,05/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,6307.75,,20080.25,16035.42,728.59,974.78,2341.47,,,,4170.2,139.07,,,,311.97,,442.71,,,,993.14,,,4170.2,,,,,,,,,,,,,,,,
1,6417097,MARCO POLO,Passenger ship,2018.0,Not Applicable,,,IC,05/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,8125.56,,25689.03,18028.86,3161.92,2155.09,2343.16,,,,4360.57,143.81,,,,202.42,,454.65,,,,639.96,,,4360.57,,,,,,,,,,,,,,,,
2,6511128,RED STAR 1,Ro-pax ship,2018.0,EIV (45.57 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,2205.37,,6941.34,380.99,2905.22,2893.35,761.75,4368.91,2572.43,,2712.0,54.43,,,,0.66,0.81,171.31,,,,2.07,2.6,,2712.0,,,,,,,,,,,,,,,,
3,6602898,OCEAN MAJESTY,Passenger ship,2018.0,EIV (31.73 gCO₂/t·nm),Madeira,,,06/05/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,6151.4,,19478.27,14233.6,982.5,1374.1,2887.16,,,,4286.21,120.93,,,,355.05,,382.91,,,,1124.27,,,4286.21,,,,,,,,,,,,,,,,
5,7037806,BOHUS,Ro-pax ship,2018.0,EIV (146 gCO₂/t·nm),,,IC,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,5225.0,,16751.35,14623.63,0.0,0.0,2127.72,14238.65,2512.7,,3753.82,104.94,,,,317.41,64.5,336.43,,,,1017.63,206.78,0.0,3753.82,0.0,,,,,,,,,,,,,,,
6,7043843,TALOS,Ro-ro ship,2018.0,EEDI (60.41 gCO₂/t·nm),Piraeus,Piraeus,,25/07/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,Yes,,3784.12,,11959.02,11959.02,0.0,0.0,0.0,,,,3835.2,76.87,167.15,,,,,242.95,528.25,,,,,,3835.2,,,,,,,,,,,,,,,,
7,7108930,BLACK WATCH,Passenger ship,2018.0,,,,,14/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,,,8994.7,,28302.42,20465.88,0.0,4953.31,2883.23,,,,4656.0,165.28,,,,284.6,,520.05,,,,895.52,,,4656.0,,,,,,,,,,,,,,,,
8,7128332,SEA WIND,Ro-pax ship,2018.0,EIV (9.29 gCO₂/t·nm),Tallinn,Tallinn,IB,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,4079.71,,12912.35,12243.3,0.0,0.0,669.0,3085.35,9157.98,,3787.0,83.73,,,,592.19,54.61,265.0,,,,1873.44,172.77,,3787.0,,,,,,,,,,,,,,,,
9,7128887,ST DAMIAN,Ro-pax ship,2018.0,EIV (41.81 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1283.26,,4069.59,0.0,1905.85,1905.85,257.89,1517.59,2551.99,,1112.0,93.33,,,,81.18,471.0,295.97,,,,260.25,1484.12,,1112.0,,,,,,,,,,,,,,,,
10,7205910,SARDINIA REGINA,Ro-pax ship,2018.0,EIV (10.78 gCO₂/t·nm),Genova,,,28/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,5786.12,,18252.06,17954.91,0.0,0.0,98.64,1642.71,16609.34,,3316.8,114.22,,,,24.91,326.61,360.3,,,,78.59,1030.27,,3316.8,,,,,,,,,,,,,,,,
11,7211074,EXPEDITION,Passenger ship,2018.0,Not Applicable,Monrovia,,IB,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,1534.21,,4918.68,1135.34,1032.72,2657.71,92.91,,,,2651.25,62.8,,,,1052.25,,201.34,,,,3373.51,,0.0,2651.25,0.0,,,,,,,,,,,,,,,
12,7218395,BOUDICCA,Passenger ship,2018.0,Not Applicable,Nassau,,,30/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,Yes,,,6988.3,,22151.32,17460.84,1625.32,394.0,2671.16,,,,4344.0,160.23,,,,277.04,,507.91,,,,878.14,,,4344.0,,,,,,,,,,,,,,,,
13,7224459,RIGEL I,Ro-pax ship,2018.0,EIV (155.7 gCO₂/t·nm),Limassol,,,18/06/2019,30/06/2020,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,1941.03,,6100.37,4976.48,483.72,479.87,160.3,5940.07,5940.07,,808.87,151.88,,,,3.8,5.55,477.34,,,,11.94,17.43,,808.87,,,,,,,,,,,,,,,,
14,7225910,AEGEAN ODYSSEY,Passenger ship,2018.0,Not Applicable,PANAMA CITY,,,14/03/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,4246.5,,13489.68,9922.69,749.51,645.73,2171.74,,,,3320.75,121.08,,,,406.89,,384.63,,,,1292.56,,,3320.75,,,,,,,,,,,,,,,,
15,7226952,FJARDVAGEN,Ro-ro ship,2018.0,EEDI (313.8 gCO₂/t·nm),,,IA,21/05/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1837.6,,5891.35,5043.9,0.0,0.0,847.5,,,,2998.2,45.61,97.87,,,,,146.23,313.77,,,,,,2998.2,,,,,,,,,,,,,,,,
16,7230599,MARKO POLO,Ro-pax ship,2018.0,EIV (45 gCO₂/t·nm),Rijeka,,,26/04/2019,30/06/2020,,CROATIAN REGISTER OF SHIPPING,Croatian Accreditation Agency,Marasoviceva 67,21000 SPLIT,9568,Croatia,,Yes,,,3650.44,,11703.31,9803.81,0.0,0.0,1899.49,11703.31,11703.31,,2618.75,110.86,,,,1.53,0.73,355.43,,,,4.9,2.35,,2618.75,,,,,,,,,,,,,,,,
17,7304314,ALBATROS,Passenger ship,2018.0,Not Applicable,Nassau,,,09/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,10348.66,,32774.16,24589.09,3531.81,2472.69,2180.59,,,,5433.48,159.04,,,,231.23,,503.68,,,,732.3,,,5433.48,,,,,,,,,,,,,,,,
18,7305253,CORSICA VICTORIA,Ro-pax ship,2018.0,EIV (10.75 gCO₂/t·nm),Genova,,,28/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,6467.78,,20397.18,20064.68,0.0,0.0,135.95,1615.89,18781.29,,4440.53,99.23,,,,22.72,231.42,312.93,,,,70.95,730.43,,4440.53,,,,,,,,,,,,,,,,
21,7346221,SUPERFERRY II,Ro-pax ship,2018.0,EIV (44.89 gCO₂/t·nm),PIRAEUS 9939,RAFINA,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,7637.98,,23947.48,23947.51,0.0,0.0,0.0,5723.43,18224.06,,2753.5,148.7,,,,1.37,1.14,466.22,,,,4.28,3.56,,2753.5,,,,,,,,,,,,,,,,
22,7347548,PRINCE,Ro-pax ship,2018.0,Not Applicable,Limassol,,,24/06/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,2060.69,,6479.57,5593.21,136.77,92.55,657.01,6479.57,6479.57,,1137.98,131.74,,,,435.83,923.57,414.24,,,,1370.42,2904.04,,1137.98,,,,,,,,,,,,,,,,
23,7349039,CORSICA MARINA SECONDA,Ro-pax ship,2018.0,EIV (11.49 gCO₂/t·nm),Genova,,,28/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,2270.53,,7191.89,6647.06,0.0,0.0,544.83,934.95,6256.94,,1508.0,110.74,,,,31.91,327.45,350.76,,,,101.09,1037.18,,1508.0,,,,,,,,,,,,,,,,
24,7350090,MOBY NIKI,Ro-pax ship,2018.0,EIV (7.61 gCO₂/t·nm),Napoli,,,29/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,2524.64,,7938.41,6804.13,0.0,0.0,1134.28,6906.43,1031.98,,2124.86,97.37,,,,825.64,76.83,306.17,,,,2596.13,241.58,,2124.86,,,,,,,,,,,,,,,,
25,7358755,MOBY KISS,Ro-pax ship,2018.0,EIV (7.31 gCO₂/t·nm),Napoli,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3432.32,,10784.38,9506.18,0.0,0.0,1278.2,9501.06,1283.32,,2180.87,106.55,,,,307.8,51.52,334.78,,,,967.11,161.86,,2180.87,,,,,,,,,,,,,,,,
26,7359400,SALAMIS FILOXENIA,Passenger ship,2018.0,Not Applicable,,,,25/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,3229.51,,10170.63,9165.85,140.75,128.56,736.25,,,,2621.0,115.77,,,,256409.61,,364.6,,,,807505.88,,,2621.0,,,,,,,,,,,,,,,,
27,7360605,MOBY VINCENT,Ro-pax ship,2018.0,EIV (10.47 gCO₂/t·nm),Napoli,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3117.77,,9800.47,8629.48,0.0,0.0,1170.99,9094.84,705.64,,1751.15,111.95,,,,293.69,28.78,351.91,,,,923.19,90.46,,1751.15,,,,,,,,,,,,,,,,
28,7360617,SARDINIA VERA,Ro-pax ship,2018.0,EIV (10.78 gCO₂/t·nm),Genova,,,28/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,3371.01,,10668.67,10310.41,0.0,0.0,358.26,1386.92,9281.75,,1903.18,123.3,,,,39.76,390.31,390.22,,,,125.84,1235.27,,1903.18,,,,,,,,,,,,,,,,
29,7360681,MOBY BABY TWO,Ro-pax ship,2018.0,EIV (18.19 gCO₂/t·nm),Napoli,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3538.73,,11112.59,9722.05,0.0,0.0,1390.54,9501.25,1611.34,,2976.75,96.33,,,,1014.35,74.36,302.49,,,,3185.33,233.5,,2976.75,,,,,,,,,,,,,,,,
30,7361312,MOBY DREA,Ro-pax ship,2018.0,EIV (5.93 gCO₂/t·nm),Napoli,,IC,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,8194.89,,25580.3,23530.77,0.0,0.0,2049.53,25273.37,306.94,,1828.4,223.57,,,,256.04,4.96,697.87,,,,799.23,15.49,,1828.4,,,,,,,,,,,,,,,,
31,7361324,MOBY OTTA,Ro-pax ship,2018.0,EIV (5.56 gCO₂/t·nm),Napoli,,IC,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,9529.06,,29767.22,26899.88,0.0,0.0,2867.34,29320.67,446.55,,2349.6,205.69,,,,261.31,6.01,642.53,,,,816.3,18.77,,2349.6,,,,,,,,,,,,,,,,
32,7382378,GIUSEPPE SA,Ro-pax ship,2018.0,EIV (13.3 gCO₂/t·nm),Cagliari,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,5291.48,,16596.63,15001.49,0.0,0.0,1595.15,3518.51,13078.13,,3957.87,90.69,,,,1199.12,60.58,284.44,,,,3761.03,189.99,,3957.87,,,,,,,,,,,,,,,,
35,7521651,EXPRESS PEGASUS,Ro-pax ship,2018.0,EIV (78.24 gCO₂/t·nm),Piraeus,,,23/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,5024.52,,15902.33,13020.82,0.0,0.0,2882.18,7354.77,8547.56,,3530.1,69.54,,,,139.35,347.48,220.09,,,,441.03,1099.74,,3530.1,,,,,,,,,,,,,,,,
36,7527887,KOPERNIK,Ro-pax ship,2018.0,Not Applicable,Limassol,,IB,29/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,4403.6,,14117.94,12433.19,0.0,0.0,1684.74,14117.94,,,5277.17,75.78,,,,1661.39,0.0,242.96,,,,5326.4,0.0,0.0,5277.17,0.0,,,,,,,,,,,,,,,
37,7529964,GEROITE NA ODESSA,Ro-ro ship,2018.0,EIV (32.5 gCO₂/t·nm),Varna,,IB,31/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,1574.63,,4933.47,0.0,2265.6,2279.32,388.56,,,,1604.2,99.52,1.24,,,,,311.8,3.89,,,,,,1604.2,,,,,,,,,,,,,,,,
38,7529976,GEROITE NA SEVASTOPOL,Ro-ro ship,2018.0,EIV (32.5 gCO₂/t·nm),Varna,,IB,31/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,1556.75,,4873.54,0.0,2379.33,2165.67,328.55,,,,1282.47,135.63,1.7,,,,,424.62,5.33,,,,,,1282.47,,,,,,,,,,,,,,,,
41,7602120,AURELIA,Ro-pax ship,2018.0,EIV (21 gCO₂/t·nm),Cagliari,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,3663.55,,11533.32,10560.11,0.0,0.0,973.21,10725.98,807.34,,2196.41,128.72,,,,243.86,26.5,405.22,,,,767.7,83.43,,2196.41,,,,,,,,,,,,,,,,
43,7615048,DUBROVNIK,Ro-pax ship,2018.0,EIV (3E+1 gCO₂/t·nm),Rijeka,,,26/04/2019,30/06/2020,,CROATIAN REGISTER OF SHIPPING,Croatian Accreditation Agency,Marasoviceva 67,21000 SPLIT,9568,Croatia,,Yes,,,3587.72,,11502.23,7488.75,1359.17,1356.82,1167.34,11502.23,11502.23,,2843.25,107.53,,,,1.12,0.78,344.74,,,,3.59,2.5,,2843.25,,,,,,,,,,,,,,,,
44,7615414,MOBY CORSE,Ro-pax ship,2018.0,EIV (8.78 gCO₂/t·nm),Livorno,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,6103.28,,19092.0,17307.37,0.0,0.0,1784.63,18213.77,878.23,,3568.1,123.95,,,,413.26,21.65,387.74,,,,1292.73,67.72,,3568.1,,,,,,,,,,,,,,,,
46,7625811,OCEAN ENDEAVOUR,Passenger ship,2018.0,EIV (59 gCO₂/t·nm),Nassau,Nassau,IB,01/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,440.35,,1411.76,394.59,582.37,209.16,225.64,,,,442.42,110.86,,,,353.31,,355.43,,,,1132.7,,,442.42,,,,,,,,,,,,,,,,
47,7633155,ECKERO,Ro-pax ship,2018.0,EIV (17.4 gCO₂/t·nm),Grisslehamn,,IB,04/10/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4311.89,,13823.92,11423.49,0.0,0.0,2400.43,9538.49,4285.43,,3644.94,93.65,,,,129.85,167.14,300.24,,,,416.3,535.85,0.0,3644.94,0.0,,,,,,,,,,,,,,,
49,7637149,VRONSKIY,Ro-pax ship,2018.0,EIV (86.12 gCO₂/t·nm),Limassol,,,29/04/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,9054.36,,28394.59,0.0,13922.51,13922.51,549.57,2042.33,25802.69,,4843.44,136.55,,,,35.02,359.13,428.23,,,,109.78,1125.74,,4843.44,,,,,,,,,,,,,,,,
50,7802067,FESTIVO,Ro-ro ship,2018.0,EIV (18.99 gCO₂/t·nm),Las Palmas de Gran canaria,Malaga,IA,19/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,1661.28,,5326.06,3092.32,934.55,1001.11,298.09,,,,4818.67,35.15,0.22,,,,,112.69,0.71,,,,,,4818.67,,,,,,,,,,,,,,,,
52,7802794,GUTE,Ro-pax ship,2018.0,EIV (38 gCO₂/t·nm),Visby,Visby,IA,05/09/2019,30/06/2020,10296,MRVControl AB,SWEDAC,Husängsvägen 4,47492 Ellös,10296,Sweden,,Yes,,,1499.21,,4747.33,4050.0,0.0,0.0,712.0,20.54,4013.32,,2361.0,53.74,,,,15.66,77.44,170.16,,,,49.49,244.71,,2361.0,,,,,,,,,,,,,,,,
53,7803190,MOROCCO STAR,Ro-pax ship,2018.0,EIV (47.92 gCO₂/t·nm),,,IC,24/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,8294.17,,26237.71,0.0,10123.17,10123.17,5991.37,13535.56,18693.53,,3485.35,133.52,,,,369.81,219.43,422.39,,,,1174.17,695.25,,3485.35,,,,,,,,,,,,,,,,
54,7803205,KRONPRINS FREDERIK,Ro-pax ship,2018.0,Not Applicable,Rostock,,IC,08/07/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,1789.0,,5650.17,5574.0,0.0,0.0,0.0,5650.17,5650.17,,862.0,207.54,,,,6814.98,364.9,655.47,,,,21523.65,1152.46,,862.0,,,,,,,,,,,,,,,,
55,7807744,RIGEL III,Ro-pax ship,2018.0,EIV (144.56 gCO₂/t·nm),Limassol,,,18/06/2019,30/06/2020,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,6092.13,,19120.14,0.0,9484.3,9406.06,229.23,18890.91,18890.91,,708.4,300.18,,,,1.92,1.71,942.11,,,,6.03,5.37,,708.4,,,,,,,,,,,,,,,,
56,7813937,BARI,Ro-pax ship,2018.0,EIV (179 gCO₂/t·nm),Limassol,,,18/06/2019,30/06/2020,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,5753.73,,18033.54,5749.67,5927.67,5977.83,378.66,17654.88,17654.88,,2794.0,130.34,,,,1.33,0.87,408.51,,,,4.17,2.74,,2794.0,,,,,,,,,,,,,,,,
57,7814046,KRITI I,Ro-pax ship,2018.0,EIV (33.03 gCO₂/t·nm),Chania 24,,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,15382.48,,48225.24,45607.95,0.0,0.0,2617.29,274.91,47950.33,,4637.05,178.24,,,,6.04,77.66,558.8,,,,18.95,243.48,,4637.05,,,,,,,,,,,,,,,,
58,7814058,KRITI II,Ro-pax ship,2018.0,EIV (33.1 gCO₂/t·nm),Chania 25,,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,12931.91,,40362.21,36987.84,0.0,0.0,3374.37,430.31,39931.9,,3490.05,193.42,,,,4.16,54.58,603.68,,,,12.99,170.35,,3490.05,,,,,,,,,,,,,,,,
59,7814462,WAWEL,Ro-pax ship,2018.0,EIV (51.21 gCO₂/t·nm),Nassau,,,18/11/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,11185.8,,35317.5,31312.47,0.0,0.0,4005.03,3355.16,31962.35,,5508.73,156.55,,,,,77.13,494.28,,,,,243.54,,5508.73,,,,,,,,,,,,,,,,
60,7822457,SAGA SAPPHIRE,Passenger ship,2018.0,Not Applicable,Valletta,,,16/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,16454.17,,51969.88,42154.29,5839.01,2096.52,1880.05,,,,7916.2,191.27,,,,336.34,,604.12,,,,1062.32,,,7916.2,,,,,,,,,,,,,,,,
61,7826788,RIGEL II,Ro-pax ship,2018.0,EIV (127.22 gCO₂/t·nm),Limassol,,,18/06/2019,30/06/2020,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,5738.33,,17972.69,0.0,8484.26,8312.25,1176.18,16796.5,16796.5,,1665.9,218.01,,,,1.53,1.85,682.8,,,,4.78,5.77,,1665.9,,,,,,,,,,,,,,,,
62,7826790,GNV AZZURRA,Ro-pax ship,2018.0,EIV (57.12 gCO₂/t·nm),Napoli,Napoli,,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,Yes,,,9307.57,,29344.83,10803.0,6729.0,6951.0,4863.0,28962.1,382.74,,2255.0,280.98,,,,494.98,0.01,885.88,,,,1560.58,0.03,,2255.0,,,,,,,,,,,,,,,,
63,7826855,URD,Ro-pax ship,2018.0,,Kalundborg,,IC,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,7900.0,,24978.92,24069.57,0.0,0.0,909.35,8645.99,16332.93,,6810.0,80.96,,,,275.31,25.96,255.98,,,,871.28,82.03,,6810.0,,,,,,,,,,,,,,,,
64,7826867,STENA GOTHICA,Ro-pax ship,2018.0,,Copenhagen,,IC,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,4996.0,,15803.01,14243.25,0.0,0.0,1559.76,5453.18,10349.83,,4294.0,81.38,,,,695.35,44.87,257.42,,,,2203.3,141.8,,4294.0,,,,,,,,,,,,,,,,
65,7827225,REGINA BALTICA,Ro-pax ship,2018.0,EIV (32.1 gCO₂/t·nm),Limassol,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,11957.44,,37530.46,163.28,17832.82,17998.28,1536.0,29904.28,7626.18,,5108.0,147.71,,,,7314.31,7313.1,463.61,,,,22957.22,22953.41,,5108.0,,,,,,,,,,,,,,,,
66,7901265,ROSELLA,Ro-pax ship,2018.0,EIV (19 gCO₂/t·nm),Mariehamn,Mariehamn,IA,26/06/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,7402.0,,23323.7,20700.0,0.0,0.0,2650.0,16637.28,4033.28,,3914.0,125.88,,,,202.3,450.7,396.66,,,,637.44,1420.17,,3914.0,,,,,,,,,,,,,,,,
67,7901760,STENA EUROPE,Ro-pax ship,2018.0,,Fishguard,,IC,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,9701.0,,30285.39,25756.16,0.0,0.0,4529.23,23580.61,6704.78,,4578.0,136.41,,,,473.14,39.7,425.85,,,,1477.75,123.76,,4578.0,,,,,,,,,,,,,,,,
