,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
899,9153020,SUECIA SEAWAYS,Ro-ro ship,2018.0,EIV (13.37 gCO₂/t·nm),København,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,9500.21,,29703.75,26716.22,0.0,0.0,2987.52,,,,4311.93,146.99,41.88,,,,,459.59,130.94,,,,,,4311.93,,,,,,,,,,,,,,,,
900,9153032,BRITANNIA SEAWAYS,Ro-ro ship,2018.0,EIV (14.27 gCO₂/t·nm),København,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,9254.21,,28927.45,25822.38,0.0,0.0,3105.06,,,,4560.32,137.22,41.26,,,,,428.93,128.99,,,,,,4560.32,,,,,,,,,,,,,,,,
922,9157284,SELANDIA SEAWAYS,Ro-ro ship,2018.0,EIV (13.3 gCO₂/t·nm),København,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,9199.89,,28742.43,26226.64,0.0,0.0,2515.79,,,,4185.68,145.13,42.2,,,,,453.42,131.83,,,,,,4185.68,,,,,,,,,,,,,,,,
932,9158616,ASIAN CAPTAIN,Ro-ro ship,2018.0,Not Applicable,Jeju,,,23/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,2188.26,,6850.15,1539.2,181.94,4906.36,222.66,,,,1036.9,124.93,25.38,,,,,391.08,79.46,,,,,,1036.9,,,,,,,,,,,,,,,,
933,9158953,CLANSMAN,Ro-pax ship,2018.0,,Glasgow,Oban,,28/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,2911.9,,9335.55,8651.73,0.0,0.0,683.93,4899.41,3752.3,,2755.0,63.55,,,,0.69,0.69,203.73,,,,2.2,2.2,,2755.0,,,,,,,,,,,,,,,,
951,9161560,CONDOR RAPIDE,Ro-pax ship,2018.0,EIV (16.27 gCO₂/t·nm),Nassau,,,19/11/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,10246.51,,32850.31,0.0,7345.98,7106.99,18397.34,32521.82,328.49,,1717.63,231.38,,,,613.68,16.92,741.82,,,,1967.47,54.26,,1717.63,,,,,,,,,,,,,,,,
953,9161948,JEAN NICOLI,Ro-pax ship,2018.0,EIV (6.04 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA SARL,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,Yes,,,14348.17,,44824.46,41263.21,0.0,0.0,3561.26,7412.34,33850.87,,4075.37,208.79,,,,99.81,133.82,652.29,,,,311.14,417.13,,4075.37,,,,,,,,,,,,,,,,
980,9165310,EUROCARGO ISTANBUL,Ro-ro ship,2018.0,EIV (19.6 gCO₂/t·nm),Valletta,,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,7089.8,7089.8,22146.35,20618.0,0.0,0.0,1498.0,,,22146.35,4454.0,99.37,28.92,,,,,310.41,90.35,,,,,,4454.0,,,99.37,28.92,,,,,310.41,90.35,,,,,,
987,9166625,VALENTINE,Ro-ro ship,2018.0,Not Applicable,antwerp,,IC,26/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,6712.3,,21150.46,19434.11,0.0,0.0,1716.35,,,,5121.05,96.37,26.82,,,,,303.67,84.52,,,,,0.0,5121.05,0.0,,,,,,,,,,,,,,,
988,9166637,MELUSINE,Ro-ro ship,2018.0,Not Applicable,Antwerp,,IC,06/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,9120.46,,28739.12,27599.17,0.0,0.0,1139.95,,,,6035.38,96.12,25.56,,,,,302.89,80.55,,,,,0.0,6035.38,0.0,,,,,,,,,,,,,,,
