imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
7527306,BOI BRANCO,Other ship types,2022.0,EIV (40.94 gCO₂/t·nm),LOME,BEIRUT,,21/06/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,Yes,,,1945.2,,6153.43,0.0,3651.4,2476.7,25.33,,,,3512.13,48.43,46.67,,,,,153.21,147.63,,,,,,3512.13,,,,,,,,,,,,,,,
7527887,SMYRNA DI LEVANTE,Ro-pax ship,2022.0,EIV (45.58 gCO₂/t·nm),Piraeus,,,30/04/2023,30/06/2024,,RINA HELLAS LTD,Hellenic Accreditation System,"5, Aitolikou Street and Kastoros - 18545",Piraeus,1325,Greece,,Yes,,,1113.87,,3571.07,972.32,0.0,0.0,2598.77,80.57,3490.5,,547.0,118.26,,,,72.69,727.2,379.13,,,,233.07,2331.39,,547.0,,,,,,,,,,,,,,,
7528611,PELAGITIS,Ro-ro ship,2022.0,EIV (58.25 gCO₂/t·nm),Chios,,,19/05/2023,30/06/2024,,Korean Register,DAkkS,"36, Myeongji ocean city 9-ro, Gangseo gu,

Busan, 618-814, Republic of Korea",Busan,D-VS-20824-01-00,"Korea, Republic of",Yes,,,,6288.29,5735.39,19886.87,18114.27,0.0,0.0,1772.6,,,18114.27,4558.0,118.16,65.64,,,,,373.67,207.6,,,,,,4558.0,,107.77,59.87,,,,,340.37,189.09,,,,,,
7528635,CENK T,Ro-pax ship,2022.0,EIV (22.03 gCO₂/t·nm),PANAMA,,,24/04/2023,30/06/2024,001,Nippon Kaiji Kyokai,Deutsche Akkredierungsstelle GmbH,"4-7, Kioi-Cho, Chiyoda-Ku","Tokyo, 102-8567",VS-21325-01,Japan,Yes,,,,4001.84,,12540.01,11698.99,0.0,245.02,596.0,,12540.01,,3769.03,98.7,,,,,68.58,309.29,,,,,214.9,,3769.03,,,,,,,,,,,,,,,
7529976,GEROITE NA SEVASTOPOL,Ro-ro ship,2022.0,EIV (22.27 gCO₂/t·nm),VARNA,,IC,13/04/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,2366.05,,7495.67,0.0,3505.58,3269.75,720.34,,,,2639.35,102.02,62.56,,,,,323.19,198.19,,,,,0.0,2639.35,0.0,,,,,,,,,,,,,,
7602089,AF FRANCESCA,Ro-pax ship,2022.0,EIV (133 gCO₂/t·nm),Naples,Bari,,22/05/2023,30/06/2024,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,5589.07,,17918.56,258.73,8016.44,8586.59,1056.79,,,,3035.0,136.91,,,,0.0,0.0,438.94,,,,0.0,0.0,,3035.0,,,,,,,,,,,,,,,
7602120,MSC AURELIA,Ro-pax ship,2022.0,EIV (38.12 gCO₂/t·nm),Limassol,,,06/06/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,2107.55,,6756.81,3783.69,1114.25,990.37,868.51,3581.1,3175.71,,1935.8,182.71,,,,324.68,1044.32,585.76,,,,1040.93,3348.11,,1935.8,,,,,,,,,,,,,,,
7615048,DUBROVNIK,Ro-pax ship,2022.0,EIV (3E+1 gCO₂/t·nm),Rijeka,,,07/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,Yes,,,2721.15,,8724.0,5359.83,540.53,540.5,2283.0,613.82,8110.18,,2298.82,104.46,,,,28.31,190.19,334.89,,,,90.76,609.76,,2298.82,,,,,,,,,,,,,,,
7633143,POVL ANKER,Ro-pax ship,2022.0,EIV (9.15 gCO₂/t·nm),Roenne,Roenne,IC,30/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,1082.12,,3469.28,2008.59,0.0,0.0,1460.69,3073.31,1856.66,,425.7,161.32,,,,426.25,380.49,517.19,,,,1366.55,1219.85,,425.7,,,,,,,,,,,,,,,
7633155,ECKERO,Ro-pax ship,2022.0,EIV (42.43 gCO₂/t·nm),Grisslehamn,Grisslehamn,IB,30/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,,Yes,,3970.54,,12729.56,10629.05,0.0,0.0,2100.51,8286.94,4442.62,,3613.62,89.41,,,,138.45,167.26,286.64,,,,443.86,536.23,,3613.62,,,,,,,,,,,,,,,
7633375,SUNNANVIK,Bulk carrier,2022.0,EIV (17.9 gCO₂/t·nm),Slite,,IA,23/02/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,4150.54,,13271.42,10667.74,529.63,810.37,1263.69,,,,5847.9,64.15,16.84,,,,,205.13,53.84,,,,,0.0,5847.9,0.0,,,,,,,,,,,,,,
7719430,MOROCCO SUN,Ro-pax ship,2022.0,EIV (44.97 gCO₂/t·nm),Tanger,Tanger,,24/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,Yes,,,3159.89,,10130.6,0.0,4673.22,5129.38,327.53,1667.73,8462.87,,3012.18,100.0,,,,142.34,183.08,320.59,,,,456.34,586.94,,3012.18,,,,,,,,,,,,,,,
7724265,IOSIF K,Ro-ro ship,2022.0,EIV (51.54 gCO₂/t·nm),Piraeus,Piraeus,,29/06/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,3283.16,,10525.81,10260.8,0.0,0.0,265.01,,,,3679.3,70.29,107.62,,,,,225.36,345.04,,,,,,3679.3,,,,,,,,,,,,,,,
7802067,FESTIVO,Ro-ro ship,2022.0,EIV (18.99 gCO₂/t·nm),Las Palmas de Gran canaria,Malaga,IA,10/04/2023,30/06/2024,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,794.18,,2546.14,2012.4,0.0,0.0,533.77,,,,1773.0,46.12,105.96,,,,,147.88,339.71,,,,,,1773.0,,,,,,,,,,,,,,,
7802794,GUBAL TRADER,Ro-pax ship,2022.0,EIV (38 gCO₂/t·nm),Limassol,Limassol,IA,22/05/2023,30/06/2024,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,,Yes,,,1847.15,,5921.97,4748.73,0.0,293.35,879.88,,,,3819.22,45.86,,,,0.0,0.0,147.02,,,,0.0,0.0,,3819.22,,,,,,,,,,,,,,,
7803190,MOROCCO STAR,Ro-pax ship,2022.0,EIV (47.92 gCO₂/t·nm),TANGER,,IC,24/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,Yes,,,5406.27,,16950.81,0.0,6145.0,5740.8,5065.0,2323.77,14627.04,,3288.02,136.45,,,,179.4,213.46,427.83,,,,562.52,669.27,,3288.02,,,,,,,,,,,,,,,
7803205,KRONPRINS FREDERIK,Ro-pax ship,2022.0,Not Applicable,Rostock,,IC,01/03/2023,30/06/2024,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,Yes,,,,2079.6,,6667.19,6667.19,0.0,0.0,0.0,3720.56,2946.63,,0.0,142.54,,,,21538.6,80.49,456.97,,,,69052.71,258.06,,0.0,,,,,,,,,,,,,,,
7807744,RIGEL III,Ro-pax ship,2022.0,EIV (36.1 gCO₂/t·nm),Limassol,Durres / Albania,,12/06/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,5988.7,,18930.76,0.0,8546.04,9391.06,993.67,8444.92,10485.84,,3388.68,126.0,,,,126.6,220.36,398.28,,,,400.18,696.58,,3388.68,,,,,,,,,,,,,,,
7813949,EUROPEAN STAR,Ro-pax ship,2022.0,EIV (18.6 gCO₂/t·nm),Panama,,,30/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,284.0,,910.51,0.0,176.33,42.67,692.49,,,,44.0,489.66,,,,,,1569.84,,,,,,,44.0,,,,,,,,,,,,,,,
7814046,KRITI I,Ro-pax ship,2022.0,EIV (33.03 gCO₂/t·nm),CHANIA 24,,,15/06/2023,30/06/2024,,RINA HELLAS LTD,Hellenic Accreditation System,"5, Aitolikou Street and Kastoros - 18545",Piraeus,1325,Greece,Yes,,,,5609.53,,17612.3,17612.37,0.0,0.0,5026.04,93.26,12492.99,,1681.81,192.81,,,,2.72,36.68,605.38,,,,8.48,114.23,,1681.81,,,,,,,,,,,,,,,
7814058,KRITI II,Ro-pax ship,2022.0,EIV (33.1 gCO₂/t·nm),CHANIA 25,,,15/06/2023,30/06/2024,,RINA HELLAS LTD,Hellenic Accreditation System,"5, Aitolikou Street and Kastoros - 18545",Piraeus,1325,Greece,Yes,,,,6928.46,,21757.18,5568.2,0.0,0.0,4417.76,201.29,15215.22,,1958.76,189.84,,,,2.98,39.79,596.16,,,,9.29,123.9,,1958.76,,,,,,,,,,,,,,,
7814462,WAWEL,Ro-pax ship,2022.0,EIV (51.21 gCO₂/t·nm),Nassau,,,26/04/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,10502.62,,33243.85,29005.23,0.0,0.0,4238.61,3158.17,30085.68,,5350.22,122.78,,,,46.28,79.94,388.64,,,,146.5,253.02,,5350.22,,,,,,,,,,,,,,,
7825978,PHIVOS,Ro-pax ship,2022.0,Not Applicable (2.0839E+5 gCO₂/t·nm),Piraeus,Piraeus,,08/05/2023,30/06/2024,,RINA HELLAS LTD,Hellenic Accreditation System,"5, Aitolikou Street and Kastoros - 18545",Piraeus,1325,Greece,Yes,,,,1333.41,,4274.91,4088.33,0.0,0.0,186.59,412.0,3676.32,,1740.0,69.92,,,,0.02,0.32,224.17,,,,0.08,1.04,,1740.0,,,,,,,,,,,,,,,
7826788,RIGEL II,Ro-pax ship,2022.0,EIV (29.38 gCO₂/t·nm),Limassol,Durres / Albania,,12/06/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,4288.07,,13470.62,840.9,5434.61,6337.8,857.32,7013.32,6457.3,,1763.97,173.87,,,,152.84,299.62,546.19,,,,480.14,941.22,,1763.97,,,,,,,,,,,,,,,
7826855,URD,Ro-pax ship,2022.0,EIV (32.44 gCO₂/t·nm),Kalundborg,,IC,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4821.52,,15417.36,13613.54,0.0,0.0,1803.83,4093.3,11324.06,,4497.52,77.98,,,,1060.04,141.01,249.34,,,,3389.59,450.89,0.0,4497.52,0.0,,,,,,,,,,,,,,
7826867,STENA GOTHICA,Ro-pax ship,2022.0,EIV (33.46 gCO₂/t·nm),Copenhagen,,IC,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4929.15,,15712.34,14008.47,0.0,0.0,1703.87,4085.21,11627.13,,4197.55,85.27,,,,772.31,98.01,271.8,,,,2461.83,312.41,0.0,4197.55,0.0,,,,,,,,,,,,,,
7827213,CELESTYAL CRYSTAL,Passenger ship,2022.0,Not Applicable,Valletta,,,24/02/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,9136.81,,28590.74,13274.66,7101.1,5732.95,2482.0,,,,3993.6,205.23,,,,367.99,,642.2,,,,1151.49,,,3993.6,,,,,,,,,,,,,,,
7827225,REGINA BALTICA,Ro-pax ship,2022.0,EIV (32.1 gCO₂/t·nm),Limassol,,,12/05/2023,30/06/2024,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,8333.2,,26509.09,297.03,12069.0,12340.26,1802.8,19205.46,5500.83,,4494.37,131.63,,,,687.1,66.75,418.74,,,,2188.72,210.83,,4494.37,,,,,,,,,,,,,,,
7901265,ROSELLA,Ro-pax ship,2022.0,EIV (19 gCO₂/t·nm),Mariehamn,Mariehamn,IA,30/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,,Yes,,6222.4,,19949.01,17200.0,0.0,0.0,2710.0,15193.23,2050.88,,3429.0,123.95,,,,287.21,543.96,397.39,,,,920.8,1743.95,,3429.0,,,,,,,,,,,,,,,
7901760,STENA EUROPE,Ro-pax ship,2022.0,EIV (32.85 gCO₂/t·nm),Fishguard,,IC,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,8497.03,,27241.48,73.69,12606.79,12895.62,1665.4,16208.67,11032.81,,4786.9,119.38,,,,332.48,140.02,382.72,,,,1065.93,448.9,0.0,4786.9,0.0,,,,,,,,,,,,,,
7907245,STENA DANICA,Ro-pax ship,2022.0,EIV (41.24 gCO₂/t·nm),Gothenburg,,IB,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,10304.94,,32605.05,29169.11,0.0,0.0,3435.93,15480.86,17124.19,,5228.86,159.12,,,,209.22,69.56,503.47,,,,661.98,220.09,0.0,5228.86,0.0,,,,,,,,,,,,,,
7907659,STENA VISION,Ro-pax ship,2022.0,EIV (33.71 gCO₂/t·nm),Limassol,,IB,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,17421.22,,54934.38,53057.91,0.0,0.0,1876.48,34839.39,20094.99,,6792.48,163.48,,,,279.07,35.83,515.5,,,,880.0,112.99,0.0,6792.48,0.0,,,,,,,,,,,,,,
7907661,STENA SPIRIT,Ro-pax ship,2022.0,EIV (33.39 gCO₂/t·nm),Limassol,,IB,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,18248.75,,57543.88,54407.66,0.0,0.0,3136.19,36252.64,21291.24,,7061.15,165.43,,,,287.57,34.71,521.66,,,,906.79,109.44,0.0,7061.15,0.0,,,,,,,,,,,,,,
7927984,CELESTYAL OLYMPIA,Passenger ship,2022.0,Not Applicable,Valletta,,,09/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,7090.11,,22170.1,10873.14,3259.01,5424.56,2613.39,,,,3169.5,215.53,,,,245.27,,673.94,,,,766.94,,,3169.5,,,,,,,,,,,,,,,
7928811,ALMARIYA,Ro-pax ship,2022.0,EIV (19.79 gCO₂/t·nm),Limassol,Almería,IA,17/02/2023,30/06/2024,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,Yes,Yes,,,3502.27,,11017.39,4286.45,2706.45,2679.66,1344.82,3449.71,6070.78,,1922.83,151.18,,,,118.54,358.63,475.58,,,,371.91,1125.28,,1922.83,,,,,,,,,,,,,,,
7931997,BALTIVIA,Ro-pax ship,2022.0,EIV (39.45 gCO₂/t·nm),Nassau,,IA,25/04/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,5909.1,,18725.17,15408.94,0.0,0.0,3316.22,374.5,18350.67,,3503.59,131.09,,,,28.48,77.36,415.41,,,,90.25,245.15,0.0,3503.59,0.0,,,,,,,,,,,,,,
8000226,WASA EXPRESS,Ro-pax ship,2022.0,Not Applicable (0 gCO₂/t·nm),limassol,,IA,22/05/2023,30/06/2024,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,,Yes,,,5973.47,,19150.95,42.32,8899.56,9591.07,617.99,,,,3875.82,117.42,203.74,,479.0,,,376.44,653.2,,1535.68,,,0.0,3875.82,0.0,,,,,,,,,,,,,,
8001024,CSL ELBE,Bulk carrier,2022.0,EIV (11.21 gCO₂/t·nm),Valletta,,IA,28/04/2023,30/06/2024,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,,Yes,,,1770.49,,5672.54,4204.38,0.0,0.0,1466.9,,,,2702.9,60.02,12.69,,,,,192.29,40.65,,,,,,2702.9,,,,,,,,,,,,,,,
