imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
7037806,IONIAN STAR,Ro-pax ship,2022.0,EIV (19.4 gCO₂/t·nm),PANAMA,,,30/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,2509.0,,8043.85,0.0,3365.23,3813.0,865.62,3390.66,4653.19,,2207.0,84.95,,,,3.06,3.7,272.35,,,,9.81,11.86,,2207.0,,,,,,,,,,,,,,,
7043843,TALOS,Ro-ro ship,2022.0,EIV (48.71 gCO₂/t·nm),Piraeus,Piraeus,,10/06/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,Yes,,2776.01,,8789.82,8321.74,0.0,0.0,468.08,,,,3635.0,63.38,155.93,,,,,200.68,493.73,,,,,,3635.0,,,,,,,,,,,,,,,
7207451,SPORADES STAR,Ro-pax ship,2022.0,EIV (50.15 gCO₂/t·nm),PIRAEUS,,,24/05/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,3233.44,,10366.39,10366.39,0.0,0.0,0.0,8550.42,1815.97,,2492.0,94.85,,,,464.33,1247.5,304.1,,,,1488.63,3999.47,,2492.0,,,,,,,,,,,,,,,
7225910,AEGEAN ODYSSEY,Ro-pax ship,2022.0,EIV (44.93 gCO₂/t·nm),PANAMA CITY,,,29/04/2023,30/06/2024,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,Yes,,,,2928.66,,9389.28,4862.0,1216.52,1617.94,1692.82,,,,2053.08,135.88,,,,579.29,,435.62,,,,1857.2,,,2053.08,,,,,,,,,,,,,,,
7226952,FJARDVAGEN,Ro-ro ship,2022.0,EIV (43 gCO₂/t·nm),Mariehamn,Mariehamn,IA,26/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,1462.58,,4689.03,3979.2,0.0,0.0,709.9,,,,2556.7,43.27,78.0,,,,,138.73,250.07,,,,,,2556.7,,,,,,,,,,,,,,,
7230599,MARKO POLO,Ro-pax ship,2022.0,EIV (45 gCO₂/t·nm),Rijeka,,,07/04/2023,30/06/2024,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,Yes,,,3109.1,,9967.77,8756.16,0.0,0.0,1211.86,740.71,9227.06,,2450.0,100.76,,,,24.78,182.11,323.05,,,,79.43,583.85,,2450.0,,,,,,,,,,,,,,,
7325095,LAMPEDUSA,Ro-pax ship,2022.0,EIV (35.34 gCO₂/t·nm),Catania,Catania,,27/06/2023,30/06/2024,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,2883.95,,9245.95,6290.95,0.0,0.0,2955.03,101.44,9144.51,,2176.3,109.42,,,,20.23,269.72,350.81,,,,64.85,864.73,,2176.3,,,,,,,,,,,,,,,
7346221,SUPERSTAR,Ro-pax ship,2022.0,EIV (44.89 gCO₂/t·nm),PIRAEUS 9939,,,19/06/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,5803.83,,18197.06,18197.06,0.0,0.0,0.0,16528.24,1668.82,,3560.0,124.83,,,,433.5,1132.64,391.38,,,,1359.16,3551.21,,3560.0,,,,,,,,,,,,,,,
7360617,SARDINIA VERA,Ro-pax ship,2022.0,EIV (10.78 gCO₂/t·nm),Genova,,,30/06/2023,30/06/2024,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,2899.46,,9227.98,5165.07,1539.56,1557.48,965.88,494.23,6355.23,,2197.95,109.23,,,,17.25,209.21,347.64,,,,54.89,665.85,,2197.95,,,,,,,,,,,,,,,
7422881,YEOMAN BANK,Bulk carrier,2022.0,EIV (8.54 gCO₂/t·nm),Monrovia,,,06/03/2023,30/06/2024,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,3395.79,,10688.86,0.0,4834.96,5683.83,170.08,,,,4038.3,98.1,6.07,,,,,308.8,19.11,,,,,,4038.3,,,,,,,,,,,,,,,
7426045,KEFALONIA,Ro-pax ship,2022.0,EIV (52.12 gCO₂/t·nm),Piraeus,"Poros, Cephalonia",,30/04/2023,30/06/2024,,RINA HELLAS LTD,Hellenic Accreditation System,"5, Aitolikou Street and Kastoros - 18545",Piraeus,1325,Greece,,Yes,,,4118.08,,13030.64,10219.69,0.0,0.0,2810.96,786.82,12243.82,,2741.33,102.23,,,,29.11,318.53,323.49,,,,92.1,1007.9,,2741.33,,,,,,,,,,,,,,,
7429669,AQUA BLUE,Ro-pax ship,2022.0,EIV (69.2 gCO₂/t·nm),piraeus,,,19/06/2023,30/06/2024,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,7405.71,,23603.29,23603.29,0.0,0.0,0.0,19610.16,3993.13,,5147.0,103.58,,,,512.07,1042.99,330.13,,,,1632.07,3324.19,,5147.0,,,,,,,,,,,,,,,
