,country,code,name,latitude,longitude
31199,ES,PMI,Palma De Mallorca Airport,39.551700591999996,2.73881006241
31202,ES,PNA,Pamplona Airport,42.77000045776367,-1.6463299989700315
40406,ES,RMU,Región de Murcia International Airport,37.803000000000004,-1.125
31215,ES,REU,Reus Air Base,41.14739990234375,1.1671700477600098
31216,ES,ROZ,Rota Naval Station Airport,36.645198822,-6.34946012497
31218,ES,SLM,Salamanca Airport,40.95209884643555,-5.501989841461182
31169,ES,MJV,San Javier Airport,37.775001525878906,-0.8123890161514282
31223,ES,EAS,San Sebastian Airport,43.35649871826172,-1.7906099557876587
31252,ES,SDR,Santander Airport,43.427101135253906,-3.82000994682312
31226,ES,SCQ,Santiago de Compostela Airport,42.89630126953125,-8.415140151977539
31254,ES,SVQ,Sevilla Airport,37.41799926757813,-5.8931097984313965
22821,ES,TFN,Tenerife Norte Airport,28.4827003479,-16.341499328599998
22819,ES,TFS,Tenerife South Airport,28.044500351,-16.5725002289
31233,ES,TEV,Teruel Airport,40.403,-1.2183
31235,ES,TOJ,Torrejón Airport,40.49670028686523,-3.4458699226379395
31243,ES,VLC,Valencia Airport,39.4893,-0.481625
31244,ES,VLL,Valladolid Airport,41.7061004639,-4.85194015503
31251,ES,VGO,Vigo Airport,42.2318000793457,-8.62677001953125
31250,ES,VIT,Vitoria/Foronda Airport,42.8828010559082,-2.7244699001312256
31253,ES,ZAZ,Zaragoza Air Base,41.66619873046875,-1.0415500402450562
18471,FI,ENF,Enontekio Airport,68.36260223388699,23.424299240112
18476,FI,KEV,Halli Airport,61.856039,24.786686
18478,FI,HEM,Helsinki Malmi Airport,60.254600524902344,25.04280090332031
18482,FI,HEL,Helsinki Vantaa Airport,60.317199707031,24.963300704956
18495,FI,IVL,Ivalo Airport,68.607299804688,27.405300140380998
18498,FI,JOE,Joensuu Airport,62.662899017334006,29.607500076294
18501,FI,JYV,Jyvaskyla Airport,62.399501800537,25.678300857544
18506,FI,KAJ,Kajaani Airport,64.285499572754,27.692399978638
18507,FI,KHJ,Kauhajoki Airport,62.4625015259,22.3931007385
18502,FI,KAU,Kauhava Airport,63.127102,23.051399
18503,FI,KEM,Kemi-Tornio Airport,65.778701782227,24.582099914551
18494,FI,KTQ,Kitee Airport,62.1661,30.073601
18514,FI,KTT,Kittilä Airport,67.700996398926,24.846799850464002
18508,FI,KOK,Kokkola-Pietarsaari Airport,63.721199035645,23.143100738525
18515,FI,KUO,Kuopio Airport,63.007099151611,27.797800064087
18513,FI,KAO,Kuusamo Airport,65.98760223388699,29.239400863647
18521,FI,LPP,Lappeenranta Airport,61.044601,28.144743
