wikidataUrl,item,wikipediaUrl,wikipediaLang,imo
44,http://www.wikidata.org/entity/Q930500,https://ja.wikipedia.org/wiki/%E3%82%B6%E3%82%A4%E3%83%87%E3%83%AB%E3%83%80%E3%83%A0,ja,9221279
45,http://www.wikidata.org/entity/Q930500,"https://nl.wikipedia.org/wiki/Zuiderdam_(schip,_2002)",nl,9221279
46,http://www.wikidata.org/entity/Q930500,https://sv.wikipedia.org/wiki/M/S_Zuiderdam,sv,9221279
47,http://www.wikidata.org/entity/Q930569,https://de.wikipedia.org/wiki/Balder_(Schiff),de,7710226
48,http://www.wikidata.org/entity/Q930569,https://en.wikipedia.org/wiki/DCV_Balder,en,7710226
49,http://www.wikidata.org/entity/Q930569,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%E2%80%8C%D8%B3%DB%8C%E2%80%8C%D9%88%DB%8C_%D8%A8%D8%A7%D9%84%D8%AF%D8%B1,fa,7710226
50,http://www.wikidata.org/entity/Q930569,https://fr.wikipedia.org/wiki/DCV_Balder,fr,7710226
51,http://www.wikidata.org/entity/Q930569,"https://nl.wikipedia.org/wiki/Balder_(schip,_1978)",nl,7710226
52,http://www.wikidata.org/entity/Q930569,https://pl.wikipedia.org/wiki/DCV_Balder,pl,7710226
53,http://www.wikidata.org/entity/Q931364,https://de.wikipedia.org/wiki/Borealis_(Schiff),de,9122552
54,http://www.wikidata.org/entity/Q931364,https://en.wikipedia.org/wiki/MS_Borealis,en,9122552
55,http://www.wikidata.org/entity/Q931364,https://et.wikipedia.org/wiki/Rotterdam_(1997),et,9122552
56,http://www.wikidata.org/entity/Q931364,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B1%D9%88%D8%AA%D8%B1%D8%AF%D8%A7%D9%85,fa,9122552
57,http://www.wikidata.org/entity/Q931364,https://fr.wikipedia.org/wiki/MS_Rotterdam,fr,9122552
58,http://www.wikidata.org/entity/Q931364,"https://nl.wikipedia.org/wiki/Rotterdam_(schip,_1997)",nl,9122552
59,http://www.wikidata.org/entity/Q933950,https://de.wikipedia.org/wiki/Carnival_Glory,de,9198367
60,http://www.wikidata.org/entity/Q933950,https://en.wikipedia.org/wiki/Carnival_Glory,en,9198367
61,http://www.wikidata.org/entity/Q933950,https://es.wikipedia.org/wiki/Carnival_Glory,es,9198367
62,http://www.wikidata.org/entity/Q933950,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B1%D9%86%D8%A7%D9%88%D8%A7%D9%84_%DA%AF%D9%84%D9%88%D8%B1%DB%8C,fa,9198367
63,http://www.wikidata.org/entity/Q933950,https://fr.wikipedia.org/wiki/Carnival_Glory,fr,9198367
64,http://www.wikidata.org/entity/Q933950,https://it.wikipedia.org/wiki/Carnival_Glory,it,9198367
65,http://www.wikidata.org/entity/Q933950,"https://nl.wikipedia.org/wiki/Carnival_Glory_(schip,_2003)",nl,9198367
66,http://www.wikidata.org/entity/Q935964,https://de.wikipedia.org/wiki/Isle_of_Innisfree,de,8908466
67,http://www.wikidata.org/entity/Q935964,https://en.wikipedia.org/wiki/MS_Calais_Seaways,en,8908466
68,http://www.wikidata.org/entity/Q935964,https://fr.wikipedia.org/wiki/MS_Calais_Seaways,fr,8908466
69,http://www.wikidata.org/entity/Q935964,"https://nl.wikipedia.org/wiki/Isle_of_Innisfree_(schip,_1992)",nl,8908466
70,http://www.wikidata.org/entity/Q939340,https://de.wikipedia.org/wiki/Freewinds,de,6810811
71,http://www.wikidata.org/entity/Q939340,https://en.wikipedia.org/wiki/Freewinds,en,6810811
72,http://www.wikidata.org/entity/Q939340,https://fr.wikipedia.org/wiki/Freewinds,fr,6810811
73,http://www.wikidata.org/entity/Q939340,https://nl.wikipedia.org/wiki/Freewinds,nl,6810811
74,http://www.wikidata.org/entity/Q939340,https://zh.wikipedia.org/wiki/%E8%87%AA%E7%94%B1%E9%A2%A8,zh,6810811
75,http://www.wikidata.org/entity/Q939791,https://de.wikipedia.org/wiki/Carnival_Splendor,de,9333163
76,http://www.wikidata.org/entity/Q939791,https://en.wikipedia.org/wiki/Carnival_Splendor,en,9333163
77,http://www.wikidata.org/entity/Q939791,https://es.wikipedia.org/wiki/Carnival_Splendor,es,9333163
78,http://www.wikidata.org/entity/Q939791,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B1%D9%86%D9%88%D8%A7%D9%84_%D8%A7%D8%B3%D9%BE%D9%84%D9%86%D8%AF%D8%B1,fa,9333163
79,http://www.wikidata.org/entity/Q939791,https://fr.wikipedia.org/wiki/Carnival_Splendor,fr,9333163
80,http://www.wikidata.org/entity/Q939791,https://it.wikipedia.org/wiki/Carnival_Splendor,it,9333163
81,http://www.wikidata.org/entity/Q939791,"https://nl.wikipedia.org/wiki/Carnival_Splendor_(schip,_2008)",nl,9333163
82,http://www.wikidata.org/entity/Q939791,https://ru.wikipedia.org/wiki/Carnival_Splendor,ru,9333163
83,http://www.wikidata.org/entity/Q939791,https://tr.wikipedia.org/wiki/Carnival_Splendor,tr,9333163
84,http://www.wikidata.org/entity/Q942634,"https://de.wikipedia.org/wiki/Renaissance_(Schiff,_1966)",de,6604834
85,http://www.wikidata.org/entity/Q942634,https://en.wikipedia.org/wiki/MS_Renaissance,en,6604834
86,http://www.wikidata.org/entity/Q942634,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B1%D9%86%D8%B3%D8%A7%D9%86%D8%B3,fa,6604834
87,http://www.wikidata.org/entity/Q942634,https://fr.wikipedia.org/wiki/World_Renaissance,fr,6604834
88,http://www.wikidata.org/entity/Q942634,"https://de.wikipedia.org/wiki/Renaissance_(Schiff,_1966)",de,6604834
89,http://www.wikidata.org/entity/Q942634,https://en.wikipedia.org/wiki/MS_Renaissance,en,6604834
90,http://www.wikidata.org/entity/Q942634,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B1%D9%86%D8%B3%D8%A7%D9%86%D8%B3,fa,6604834
91,http://www.wikidata.org/entity/Q942634,https://fr.wikipedia.org/wiki/World_Renaissance,fr,6604834
92,http://www.wikidata.org/entity/Q943569,https://de.wikipedia.org/wiki/Mega_Express_Two,de,9203186
93,http://www.wikidata.org/entity/Q943569,https://fr.wikipedia.org/wiki/Mega_Express_Two,fr,9203186
94,http://www.wikidata.org/entity/Q943569,https://it.wikipedia.org/wiki/Mega_Express_Two,it,9203186
95,http://www.wikidata.org/entity/Q943569,https://lb.wikipedia.org/wiki/Mega_Express_Two,lb,9203186
96,http://www.wikidata.org/entity/Q946364,https://en.wikipedia.org/wiki/MS_Smyril,en,9275218
97,http://www.wikidata.org/entity/Q946364,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B3%D9%85%DB%8C%D8%B1%DB%8C%D9%84,fa,9275218
98,http://www.wikidata.org/entity/Q946364,https://fo.wikipedia.org/wiki/M/F_Smyril,fo,9275218
99,http://www.wikidata.org/entity/Q946364,https://hu.wikipedia.org/wiki/M/F_Smyril,hu,9275218
100,http://www.wikidata.org/entity/Q946364,https://no.wikipedia.org/wiki/MF_%C2%ABSmyril%C2%BB,nb,9275218
101,http://www.wikidata.org/entity/Q946364,https://pl.wikipedia.org/wiki/M/F_Smyril,pl,9275218
102,http://www.wikidata.org/entity/Q946364,https://sv.wikipedia.org/wiki/Smyril,sv,9275218
103,http://www.wikidata.org/entity/Q947560,https://de.wikipedia.org/wiki/Pieter_Corneliszoon_Hooft_(Schiff),de,5606536
104,http://www.wikidata.org/entity/Q947560,https://en.wikipedia.org/wiki/MS_Pieter_Corneliszoon_Hooft,en,5606536
105,http://www.wikidata.org/entity/Q947560,"https://nl.wikipedia.org/wiki/Pieter_Corneliszoon_Hooft_(schip,_1926)",nl,5606536
106,http://www.wikidata.org/entity/Q948738,https://de.wikipedia.org/wiki/James_Craig_(Schiff),de,8676788
107,http://www.wikidata.org/entity/Q340233,https://sl.wikipedia.org/wiki/Achille_Lauro,sl,5390008
108,http://www.wikidata.org/entity/Q340233,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%B2%E0%AF%87_%E0%AE%B2%E0%AF%8B%E0%AE%B0%E0%AF%8B,ta,5390008
109,http://www.wikidata.org/entity/Q340233,https://tr.wikipedia.org/wiki/Achille_Lauro,tr,5390008
110,http://www.wikidata.org/entity/Q340233,https://zh.wikipedia.org/wiki/%E9%98%BF%E5%9F%BA%E8%90%8A%C2%B7%E5%8B%9E%E5%80%AB%E8%99%9F,zh,5390008
111,http://www.wikidata.org/entity/Q355181,https://cv.wikipedia.org/wiki/%D0%A0%D0%B0%C3%A7%C3%A7%D0%B5%D0%B9_(%D0%BF%C4%83%D1%80%C3%A7%C4%95%D0%BC%D1%80%D0%B5%D0%BD),cv,8424240
112,http://www.wikidata.org/entity/Q355181,"https://de.wikipedia.org/wiki/Rossiya_(Schiff,_1985)",de,8424240
113,http://www.wikidata.org/entity/Q355181,https://en.wikipedia.org/wiki/Rossiya_(1983_icebreaker),en,8424240
114,http://www.wikidata.org/entity/Q355181,https://fr.wikipedia.org/wiki/Rossiya_(brise-glace),fr,8424240
115,http://www.wikidata.org/entity/Q355181,https://id.wikipedia.org/wiki/Rossiya_(kapal_pemecah_es_bertenaga_nuklir),id,8424240
116,http://www.wikidata.org/entity/Q355181,https://lt.wikipedia.org/wiki/NS_Rossija,lt,8424240
117,http://www.wikidata.org/entity/Q355181,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F_(%D0%B0%D1%82%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BB%D0%B5%D0%B4%D0%BE%D0%BA%D0%BE%D0%BB),ru,8424240
118,http://www.wikidata.org/entity/Q358044,https://de.wikipedia.org/wiki/Adler-Express,de,9073098
119,http://www.wikidata.org/entity/Q358165,https://de.wikipedia.org/wiki/Koi_(Schiff),de,7928615
120,http://www.wikidata.org/entity/Q358165,https://de.wikipedia.org/wiki/Koi_(Schiff),de,7928615
121,http://www.wikidata.org/entity/Q323208,https://de.wikipedia.org/wiki/Albert_Ballin_(Schiff),de,5335993
122,http://www.wikidata.org/entity/Q323208,https://en.wikipedia.org/wiki/SS_Albert_Ballin,en,5335993
123,http://www.wikidata.org/entity/Q323208,https://fr.wikipedia.org/wiki/SS_Albert_Ballin,fr,5335993
124,http://www.wikidata.org/entity/Q323208,https://it.wikipedia.org/wiki/Albert_Ballin_(transatlantico),it,5335993
125,http://www.wikidata.org/entity/Q323208,https://no.wikipedia.org/wiki/SS_%C2%ABAlbert_Ballin%C2%BB,nb,5335993
126,http://www.wikidata.org/entity/Q323208,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B2%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%A1%D0%BE%D1%8E%D0%B7_(%D0%BF%D0%B0%D1%80%D0%BE%D1%82%D1%83%D1%80%D0%B1%D0%BE%D1%85%D0%BE%D0%B4),ru,5335993
127,http://www.wikidata.org/entity/Q325935,https://de.wikipedia.org/wiki/Tampa_(Schiff),de,8204951
128,http://www.wikidata.org/entity/Q325935,https://en.wikipedia.org/wiki/MV_Tampa,en,8204951
129,http://www.wikidata.org/entity/Q325935,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D9%88%DB%8C_%D8%AA%D9%85%D9%BE%D8%A7,fa,8204951
130,http://www.wikidata.org/entity/Q325935,"https://nl.wikipedia.org/wiki/Tampa_(schip,_1984)",nl,8204951
131,http://www.wikidata.org/entity/Q325935,https://no.wikipedia.org/wiki/MS_%C2%ABTampa%C2%BB,nb,8204951
132,http://www.wikidata.org/entity/Q325935,https://ru.wikipedia.org/wiki/MV_Tampa,ru,8204951
133,http://www.wikidata.org/entity/Q331745,https://da.wikipedia.org/wiki/F341_Absalon,da,9284441
134,http://www.wikidata.org/entity/Q331745,https://en.wikipedia.org/wiki/HDMS_Absalon_(F341),en,9284441
135,http://www.wikidata.org/entity/Q331745,https://et.wikipedia.org/wiki/Absalon_(laev),et,9284441
136,http://www.wikidata.org/entity/Q331745,https://fa.wikipedia.org/wiki/%D8%A7%DA%86%E2%80%8C%D8%AF%DB%8C%E2%80%8C%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%A7%D8%A8%D8%B3%D8%A7%D9%84%D9%88%D9%86_(%D8%A7%D9%84%DB%B1%DB%B6),fa,9284441
137,http://www.wikidata.org/entity/Q331745,https://fi.wikipedia.org/wiki/KDM_Absalon,fi,9284441
138,http://www.wikidata.org/entity/Q331745,https://fo.wikipedia.org/wiki/HDMS_Absalon_(L16),fo,9284441
139,http://www.wikidata.org/entity/Q331745,https://fr.wikipedia.org/wiki/HDMS_Absalon_(L16),fr,9284441
140,http://www.wikidata.org/entity/Q331745,https://no.wikipedia.org/wiki/%C2%ABAbsalon%C2%BB_(L16),nb,9284441
141,http://www.wikidata.org/entity/Q331745,https://sv.wikipedia.org/wiki/HDMS_Absalon_(L16),sv,9284441
142,http://www.wikidata.org/entity/Q331745,https://uk.wikipedia.org/wiki/HDMS_Absalon_(L16),uk,9284441
143,http://www.wikidata.org/entity/Q331745,https://de.wikipedia.org/wiki/Absalon_(Schiff),de,9284441
144,http://www.wikidata.org/entity/Q335541,https://ca.wikipedia.org/wiki/Exxon_Valdez,ca,8414520
145,http://www.wikidata.org/entity/Q335541,https://cs.wikipedia.org/wiki/Exxon_Valdez,cs,8414520
146,http://www.wikidata.org/entity/Q335541,https://da.wikipedia.org/wiki/Exxon_Valdez,da,8414520
147,http://www.wikidata.org/entity/Q335541,https://de.wikipedia.org/wiki/Exxon_Valdez,de,8414520
148,http://www.wikidata.org/entity/Q335541,https://en.wikipedia.org/wiki/Exxon_Valdez,en,8414520
149,http://www.wikidata.org/entity/Q335541,https://eo.wikipedia.org/wiki/Exxon_Valdez,eo,8414520
150,http://www.wikidata.org/entity/Q335541,https://es.wikipedia.org/wiki/Exxon_Valdez,es,8414520
151,http://www.wikidata.org/entity/Q335541,https://et.wikipedia.org/wiki/Exxon_Valdez,et,8414520
152,http://www.wikidata.org/entity/Q335541,https://eu.wikipedia.org/wiki/Exxon_Valdez,eu,8414520
153,http://www.wikidata.org/entity/Q335541,https://fa.wikipedia.org/wiki/%D8%A7%DA%A9%D8%B3%D8%A7%D9%86_%D9%88%D8%A7%D9%84%D8%AF%D8%B2,fa,8414520
154,http://www.wikidata.org/entity/Q335541,https://fi.wikipedia.org/wiki/M/T_Exxon_Valdez,fi,8414520
155,http://www.wikidata.org/entity/Q335541,https://fr.wikipedia.org/wiki/Exxon_Valdez,fr,8414520
156,http://www.wikidata.org/entity/Q335541,https://gl.wikipedia.org/wiki/Exxon_Valdez,gl,8414520
157,http://www.wikidata.org/entity/Q335541,https://he.wikipedia.org/wiki/%D7%90%D7%A7%D7%A1%D7%95%D7%9F_%D7%95%D7%90%D7%9C%D7%93%D7%96,he,8414520
158,http://www.wikidata.org/entity/Q335541,https://hu.wikipedia.org/wiki/Exxon_Valdez-katasztr%C3%B3fa,hu,8414520
159,http://www.wikidata.org/entity/Q335541,https://id.wikipedia.org/wiki/Exxon_Valdez,id,8414520
160,http://www.wikidata.org/entity/Q335541,https://is.wikipedia.org/wiki/Exxon_Valdez,is,8414520
161,http://www.wikidata.org/entity/Q335541,https://it.wikipedia.org/wiki/Exxon_Valdez,it,8414520
162,http://www.wikidata.org/entity/Q335541,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%AF%E3%82%BD%E3%83%B3%E3%83%BB%E3%83%B4%E3%82%A1%E3%83%AB%E3%83%87%E3%82%A3%E3%83%BC%E3%82%BA,ja,8414520
163,http://www.wikidata.org/entity/Q335541,https://ko.wikipedia.org/wiki/%EC%97%91%EC%8A%A8%EB%B0%9C%EB%8D%B0%EC%A6%88,ko,8414520
164,http://www.wikidata.org/entity/Q335541,"https://nl.wikipedia.org/wiki/Exxon_Valdez_(schip,_1986)",nl,8414520
165,http://www.wikidata.org/entity/Q335541,https://no.wikipedia.org/wiki/Exxon_Valdez,nb,8414520
166,http://www.wikidata.org/entity/Q335541,https://pl.wikipedia.org/wiki/MT_Exxon_Valdez,pl,8414520
167,http://www.wikidata.org/entity/Q335541,https://pt.wikipedia.org/wiki/Exxon_Valdez,pt,8414520
168,http://www.wikidata.org/entity/Q335541,https://ro.wikipedia.org/wiki/Exxon_Valdez,ro,8414520
169,http://www.wikidata.org/entity/Q335541,https://ru.wikipedia.org/wiki/%D0%AD%D0%BA%D1%81%D0%BE%D0%BD_%D0%92%D0%B0%D0%BB%D0%B4%D0%B8%D0%B7,ru,8414520
170,http://www.wikidata.org/entity/Q335541,https://sk.wikipedia.org/wiki/Exxon_Valdez,sk,8414520
171,http://www.wikidata.org/entity/Q335541,https://sl.wikipedia.org/wiki/Exxon_Valdez,sl,8414520
172,http://www.wikidata.org/entity/Q335541,https://tr.wikipedia.org/wiki/Exxon_Valdez_kazas%C4%B1,tr,8414520
173,http://www.wikidata.org/entity/Q335541,https://uk.wikipedia.org/wiki/%D0%95%D0%BA%D1%81%D0%BE%D0%BD_%D0%92%D0%B0%D0%BB%D1%8C%D0%B4%D0%B5%D0%B7,uk,8414520
174,http://www.wikidata.org/entity/Q337369,https://de.wikipedia.org/wiki/Acadia_Forest,de,6916407
175,http://www.wikidata.org/entity/Q338340,https://de.wikipedia.org/wiki/Boudicca_(Schiff),de,7218395
176,http://www.wikidata.org/entity/Q338340,https://en.wikipedia.org/wiki/MV_Boudicca,en,7218395
177,http://www.wikidata.org/entity/Q338340,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D9%88%DB%8C_%D8%A8%D9%88%D8%AF%DB%8C%DA%A9%D8%A7,fa,7218395
178,http://www.wikidata.org/entity/Q338340,https://fr.wikipedia.org/wiki/Boudicca_(navire_de_croisi%C3%A8re),fr,7218395
179,http://www.wikidata.org/entity/Q340233,https://ar.wikipedia.org/wiki/%D8%A3%D9%83%D9%8A%D9%84%D9%8A_%D9%84%D8%A7%D9%88%D8%B1%D9%88,ar,5390008
180,http://www.wikidata.org/entity/Q340233,https://ca.wikipedia.org/wiki/Achille_Lauro_(creuer),ca,5390008
181,http://www.wikidata.org/entity/Q340233,https://cs.wikipedia.org/wiki/Achille_Lauro,cs,5390008
182,http://www.wikidata.org/entity/Q340233,https://da.wikipedia.org/wiki/Achille_Lauro,da,5390008
