imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
9596038,NORDSCHELDE,Bulk carrier,2020.0,EIV (6.19 gCO₂/t·nm),Valletta,,IC,08/05/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,2632.93,,8364.96,1950.06,4200.02,1556.79,658.1,,,,3208.45,80.81,3.2,,,,,256.75,10.18,,,,,0.0,3208.45,0.0,,,,,,,,,,,,,,
9596040,NORDRHONE,Bulk carrier,2020.0,EEDI (5.04 gCO₂/t·nm),Valletta,,,08/05/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,1568.56,,4966.26,39.5,2821.18,1949.08,156.5,,,,2394.47,61.05,2.83,,,,,193.3,8.95,,,,,,2394.47,,,,,,,,,,,,,,,
9596052,NORDSEINE,Bulk carrier,2020.0,EEDI (5.02 gCO₂/t·nm),Valletta,,,08/05/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,2663.69,,8440.91,964.54,4177.9,2701.9,596.56,,,,4077.95,65.15,2.86,,,,,206.45,9.06,,,,,,4077.95,,,,,,,,,,,,,,,
9596090,ZHENG ZHI,Bulk carrier,2020.0,EIV (5.11 gCO₂/t·nm),Panama,Panama,,29/04/2021,30/06/2022,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,,Yes,,,1602.1,,5012.45,77.57,995.91,500.76,27.86,,,,1418.6,95.18,1.64,,,,,297.79,5.13,,,,,,1418.6,,,,,,,,,,,,,,,
9596105,ZHENG HUI,Bulk carrier,2020.0,EIV (5.11 gCO₂/t·nm),Panama,Panama,,29/04/2021,30/06/2022,581,HELLENIC LLOYD'S S.A.,HELLENIC ACCREDITATION SYSTEM,"348 Syggrou Avenue,",Athens,1190,Greece,,Yes,,,474.88,,1497.2,0.0,102.1,341.1,31.68,,,,364.0,107.79,2.26,,,,,339.85,7.12,,,,,,364.0,,,,,,,,,,,,,,,
9596179,ST PINOT,Bulk carrier,2020.0,EIV (4.82 gCO₂/t·nm),Majuro,,,25/03/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,2315.59,,7255.69,512.19,3318.81,3170.74,253.95,,,,2117.0,92.96,2.29,,,,,291.28,7.18,,,,,,2117.0,,,,,,,,,,,,,,,
9596258,HOUYOSHI EXPRESS II,Chemical tanker,2020.0,EEDI (6.07 gCO₂/t·nm),Panama,Panama,,29/04/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,136.3,,436.98,167.0,75.0,80.0,112.0,,,,129.0,99.78,3.89,,,,,319.9,12.46,,,,,,129.0,,,,,,,,,,,,,,,
9596272,MERIDIAN EXPRESS,Chemical tanker,2020.0,EIV (6.01 gCO₂/t·nm),Panama,,,05/04/2021,30/06/2022,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,Yes,,2547.9,2328.1,8057.14,664.89,3673.53,3271.82,446.89,,,7357.59,2424.4,96.06,3.5,,,,,303.77,11.06,,,,,,2424.4,,93.49,3.2,,,,,295.47,10.1,,,,,,
9596337,WISDOM OF THE SEA 2,Bulk carrier,2020.0,EIV (4.5 gCO₂/t·nm),Panama,Panama,,28/04/2021,30/06/2022,,Korean Register,DAkkS,"36, Myeongji ocean city 9-ro, Gangseo gu,

Busan, 618-814, Republic of Korea",Busan,D-VS-20824-01-00,"Korea, Republic of",Yes,,,,1473.71,,4621.94,372.36,2169.91,1995.87,83.8,,,,786.2,191.64,2.12,,,,,601.03,6.65,,,,,,786.2,,,,,,,,,,,,,,,
9596650,W-PACIFIC,Bulk carrier,2020.0,EIV (4.33 gCO₂/t·nm),Monrovia,,,20/05/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,1205.65,,3795.95,338.34,1273.95,2016.77,166.9,,,,1086.4,91.55,1.91,,,,,288.23,6.0,,,,,,1086.4,,,,,,,,,,,,,,,
