city_a,city_b,imo,companyName,ship,city_a_slug,city_b_slug,city_a_country_code,city_a_latitude,city_a_longitude,city_b_country_code,city_b_latitude,city_b_longitude,city_a_geonameid,city_b_geonameid,name
Gdynia,Karlskrona,7907661.0,Stena Line,Stena Spirit,gdynia,karlskrona,PL,54.51889,18.531879999999997,SE,56.161559999999994,15.58661,3099424.0,2701713.0,STENA SPIRIT
Gdynia,Karlskrona,9364978.0,Stena Line,Stena Baltica,gdynia,karlskrona,PL,54.51889,18.531879999999997,SE,56.161559999999994,15.58661,3099424.0,2701713.0,STENA BALTICA
Goteborg,Kiel,9235517.0,Stena Line,Stena Scandinavica,goteborg,kiel,SE,57.707159999999995,11.96679,DE,54.32133,10.134889999999999,2711537.0,2891122.0,STENA SCANDINAVICA
Guernesey,Jersey (St Helier),9551363.0,Condor Ferries,Condor Liberation,guernesey,jersey-st-helier,GG,49.45981,-2.53527,JE,49.18804,-2.10491,3042287.0,3042091.0,CONDOR LIBERATION
Guernesey,Portsmouth,9201750.0,Condor Ferries,Commodore Clipper,guernesey,portsmouth,GG,49.45981,-2.53527,GB,50.79899,-1.09125,3042287.0,2639996.0,COMMODORE CLIPPER
Guernesey,Saint-Malo,9551363.0,Condor Ferries,Condor Liberation,guernesey,saint-malo,GG,49.45981,-2.53527,FR,46.93333,-0.9,3042287.0,2978632.0,CONDOR LIBERATION
Gênes,Palerme,9214288.0,Grandi Navi Veloci,La Suprema,genes,palerme,IT,44.40478,8.94439,IT,38.13205,13.33561,3176219.0,2523920.0,LA SUPREMA
Gênes,Tanger Med,9143441.0,Grandi Navi Veloci,Excellent,genes,tanger-med,IT,44.40478,8.94439,MA,35.76727,-5.79975,3176219.0,2530335.0,EXCELLENT
Gênes,Tunis,9184419.0,Grandi Navi Veloci,Excelsior,genes,tunis,IT,44.40478,8.94439,TN,36.81897,10.16579,3176219.0,2464470.0,EXCELSIOR
Harwich,Hoek van Holland,9419175.0,Stena Line,Stena Britannica,harwich,hoek-van-holland,GB,51.94194,1.28437,NL,51.9775,4.13333,2647383.0,2754007.0,STENA BRITANNICA
Helsinki,Stockholm,8715259.0,Tallink Silja,Silja Serenade,helsinki,stockholm,FI,60.16952,24.93545,SE,59.32938000000001,18.06871,658225.0,2673730.0,SILJA SERENADE
Helsinki,Stockholm,8917601.0,Viking Line,Gabriella,helsinki,stockholm,FI,60.16952,24.93545,SE,59.32938000000001,18.06871,658225.0,2673730.0,GABRIELLA
Helsinki,Tallinn,7901265.0,Viking Line,Rosella,helsinki,tallinn,FI,60.16952,24.93545,EE,59.43696,24.753529999999998,658225.0,588409.0,ROSELLA
Helsinki,Tallinn,9364722.0,Tallink Silja,Star,helsinki,tallinn,FI,60.16952,24.93545,EE,59.43696,24.753529999999998,658225.0,588409.0,STAR
Helsinki,Tallinn,9773064.0,Tallink Silja,Megastar,helsinki,tallinn,FI,60.16952,24.93545,EE,59.43696,24.753529999999998,658225.0,588409.0,MEGASTAR
Helsinki,Travemunde,9319466.0,Finnlines,Finnmaid,helsinki,travemunde,FI,60.16952,24.93545,DE,53.96304,10.8709,658225.0,2821480.0,FINNMAID
Héraklion,Le Pirée,9204063.0,Minoan Lines,Knossos Palace,heraklion,le-piree,GR,35.327870000000004,25.14341,GR,37.942029999999995,23.64619,261745.0,255274.0,KNOSSOS PALACE
Héraklion,Milos,9204063.0,Minoan Lines,Knossos Palace,heraklion,milos,GR,35.327870000000004,25.14341,GR,36.74536,24.4265,261745.0,256952.0,KNOSSOS PALACE
Igoumenitsa,Venise,8922163.0,Anek Superfast,Asterion Ii,igoumenitsa,venise,GR,39.50342,20.26728,FR,45.69706,4.88593,261807.0,2970072.0,ASTERION II
Iraklia,Le Pirée,9241774.0,Blue Star Ferries,Blue Star Paros,iraklia,le-piree,GR,40.34772,23.0155,GR,37.942029999999995,23.64619,735019.0,255274.0,BLUE STAR PAROS
Iraklia,Paros,9241774.0,Blue Star Ferries,Blue Star Paros,iraklia,paros,GR,40.34772,23.0155,GR,37.08333,25.15,735019.0,255721.0,BLUE STAR PAROS
Iraklia,Syros,9241774.0,Blue Star Ferries,Blue Star Paros,iraklia,syros,GR,40.34772,23.0155,GR,37.44997,24.93562,735019.0,264839.0,BLUE STAR PAROS
Jersey (St Helier),Poole,9551363.0,Condor Ferries,Condor Liberation,jersey-st-helier,poole,JE,49.18804,-2.10491,GB,50.714290000000005,-1.98458,3042091.0,2640101.0,CONDOR LIBERATION
Jersey (St Helier),Portsmouth,9201750.0,Condor Ferries,Commodore Clipper,jersey-st-helier,portsmouth,JE,49.18804,-2.10491,GB,50.79899,-1.09125,3042091.0,2639996.0,COMMODORE CLIPPER
